## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4772e-01  -1.9246e+00   1.2414e-01   4.5512e-03   6.3370e+04   2.0725e+05
  2.4303e-01   2.6006e-01  -1.3598e+00   4.9634e-03   9.4992e-04   2.5372e+05   8.2812e+05
  4.3931e-01   4.7005e-01  -7.6751e-01   7.2637e-03   6.4006e-04   8.0506e+05   2.6273e+06
  7.9411e-01   8.4984e-01  -1.7468e-01   6.8203e-03   3.9317e-04   2.6088e+06   8.5137e+06
  1.4355e+00   1.5373e+00   4.1857e-01   3.0438e-03   4.9181e-04   8.5831e+06   2.8011e+07
  2.5948e+00   2.7814e+00   1.0116e+00   2.4094e-03   6.1430e-04   2.8045e+07   9.1523e+07
  4.6904e+00   5.0316e+00   1.6044e+00   2.3283e-03   6.6555e-04   9.1297e+07   2.9794e+08
  8.4785e+00   9.0986e+00   2.1966e+00   2.4092e-03   6.8523e-04   2.9614e+08   9.6644e+08
  1.5326e+01   1.6454e+01   2.7888e+00   2.4641e-03   6.7436e-04   9.5983e+08   3.1324e+09
  2.7704e+01   2.9740e+01   3.3805e+00   2.4628e-03   6.9734e-04   3.1155e+09   1.0167e+10
  5.0078e+01   5.3739e+01   3.9720e+00   2.5514e-03   6.9626e-04   1.0012e+10   3.2673e+10
  9.0523e+01   9.7057e+01   4.5631e+00   2.6965e-03   6.6283e-04   3.1765e+10   1.0366e+11
  1.6363e+02   1.7543e+02   5.1550e+00   2.6229e-03   6.5594e-04   9.9416e+10   3.2444e+11
