## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4404e-01  -1.9506e+00   6.9495e-01   1.5285e-02   2.9251e+06   9.5455e+06
  2.4303e-01   2.6017e-01  -1.3589e+00   6.9483e-01   1.5285e-02   9.5324e+06   3.1107e+07
  4.3931e-01   4.7019e-01  -7.6650e-01   6.9485e-01   1.5268e-02   3.1171e+07   1.0172e+08
  7.9411e-01   8.5070e-01  -1.7320e-01   6.9489e-01   1.5234e-02   1.0223e+08   3.3362e+08
  1.4355e+00   1.5395e+00   4.2003e-01   6.9485e-01   1.5265e-02   3.3486e+08   1.0928e+09
  2.5948e+00   2.7847e+00   1.0126e+00   6.9490e-01   1.5256e-02   1.0946e+09   3.5720e+09
  4.6904e+00   5.0352e+00   1.6047e+00   6.9514e-01   1.5230e-02   3.5704e+09   1.1651e+10
  8.4785e+00   9.1021e+00   2.1966e+00   6.9573e-01   1.5179e-02   1.1608e+10   3.7879e+10
  1.5326e+01   1.6457e+01   2.7887e+00   6.9641e-01   1.5124e-02   3.7685e+10   1.2298e+11
  2.7704e+01   2.9744e+01   3.3805e+00   6.9683e-01   1.5100e-02   1.2244e+11   3.9957e+11
  5.0078e+01   5.3739e+01   3.9720e+00   6.9784e-01   1.5056e-02   3.9358e+11   1.2844e+12
  9.0523e+01   9.7083e+01   4.5633e+00   6.9904e-01   1.5047e-02   1.2521e+12   4.0859e+12
  1.6363e+02   1.7546e+02   5.1551e+00   7.0101e-01   1.4988e-02   3.9219e+12   1.2798e+13
