## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4384e-01  -1.9515e+00   6.9572e-01   4.8220e-05   6.5297e+07   2.1304e+08
  2.4303e-01   2.6013e-01  -1.3583e+00   6.9570e-01   3.1935e-05   2.1333e+08   6.9602e+08
  4.3931e-01   4.7076e-01  -7.6480e-01   6.9571e-01   3.2003e-05   6.9927e+08   2.2814e+09
  7.9411e-01   8.5184e-01  -1.7174e-01   6.9570e-01   3.1790e-05   2.2872e+09   7.4623e+09
  1.4355e+00   1.5407e+00   4.2070e-01   6.9571e-01   3.2926e-05   7.4647e+09   2.4355e+10
  2.5948e+00   2.7858e+00   1.0127e+00   6.9571e-01   3.3188e-05   2.4312e+10   7.9322e+10
  4.6904e+00   5.0358e+00   1.6046e+00   6.9571e-01   3.1643e-05   7.9034e+10   2.5786e+11
  8.4785e+00   9.1038e+00   2.1966e+00   6.9571e-01   3.1171e-05   2.5663e+11   8.3730e+11
  1.5326e+01   1.6456e+01   2.7886e+00   6.9571e-01   3.0734e-05   8.3204e+11   2.7146e+12
  2.7704e+01   2.9738e+01   3.3802e+00   6.9571e-01   3.0988e-05   2.6923e+12   8.7841e+12
  5.0078e+01   5.3726e+01   3.9717e+00   6.9571e-01   3.0642e-05   8.6182e+12   2.8118e+13
  9.0523e+01   9.7071e+01   4.5632e+00   6.9571e-01   2.9640e-05   2.7245e+13   8.8890e+13
  1.6363e+02   1.7538e+02   5.1547e+00   6.9571e-01   2.8112e-05   8.4302e+13   2.7504e+14
