## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4772e-01  -1.9246e+00   8.1909e-01   1.5138e-02   6.3370e+04   2.0725e+05
  2.4303e-01   2.6006e-01  -1.3598e+00   6.9979e-01   1.5630e-02   2.5372e+05   8.2812e+05
  4.3931e-01   4.7005e-01  -7.6751e-01   7.0211e-01   1.5384e-02   8.0506e+05   2.6273e+06
  7.9411e-01   8.4984e-01  -1.7468e-01   7.0171e-01   1.5291e-02   2.6088e+06   8.5137e+06
  1.4355e+00   1.5373e+00   4.1857e-01   6.9789e-01   1.5257e-02   8.5831e+06   2.8011e+07
  2.5948e+00   2.7814e+00   1.0116e+00   6.9731e-01   1.5312e-02   2.8045e+07   9.1523e+07
  4.6904e+00   5.0316e+00   1.6044e+00   6.9746e-01   1.5309e-02   9.1297e+07   2.9794e+08
  8.4785e+00   9.0986e+00   2.1966e+00   6.9814e-01   1.5258e-02   2.9614e+08   9.6644e+08
  1.5326e+01   1.6454e+01   2.7888e+00   6.9887e-01   1.5198e-02   9.5983e+08   3.1324e+09
  2.7704e+01   2.9740e+01   3.3805e+00   6.9929e-01   1.5187e-02   3.1155e+09   1.0167e+10
  5.0078e+01   5.3739e+01   3.9720e+00   7.0040e-01   1.5134e-02   1.0012e+10   3.2673e+10
  9.0523e+01   9.7057e+01   4.5631e+00   7.0174e-01   1.5123e-02   3.1765e+10   1.0366e+11
  1.6363e+02   1.7543e+02   5.1550e+00   7.0364e-01   1.5095e-02   9.9416e+10   3.2444e+11
