## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4405e-01  -1.9506e+00   7.4797e-01   1.4572e-02   1.9532e+06   6.3091e+06
  2.4303e-01   2.6016e-01  -1.3590e+00   7.4786e-01   1.4479e-02   6.3621e+06   2.0550e+07
  4.3931e-01   4.7020e-01  -7.6650e-01   7.4782e-01   1.4511e-02   2.0810e+07   6.7218e+07
  7.9411e-01   8.5070e-01  -1.7320e-01   7.4787e-01   1.4470e-02   6.8252e+07   2.2046e+08
  1.4355e+00   1.5395e+00   4.2003e-01   7.4783e-01   1.4512e-02   2.2359e+08   7.2220e+08
  2.5948e+00   2.7847e+00   1.0126e+00   7.4785e-01   1.4512e-02   7.3094e+08   2.3610e+09
  4.6904e+00   5.0352e+00   1.6048e+00   7.4796e-01   1.4506e-02   2.3855e+09   7.7054e+09
  8.4785e+00   9.1030e+00   2.1967e+00   7.4828e-01   1.4511e-02   7.7633e+09   2.5076e+10
  1.5326e+01   1.6459e+01   2.7888e+00   7.4866e-01   1.4521e-02   2.5227e+10   8.1486e+10
  2.7704e+01   2.9748e+01   3.3806e+00   7.4892e-01   1.4519e-02   8.2010e+10   2.6490e+11
  5.0078e+01   5.3751e+01   3.9721e+00   7.4939e-01   1.4556e-02   2.6413e+11   8.5316e+11
  9.0523e+01   9.7086e+01   4.5633e+00   7.4962e-01   1.4678e-02   8.4154e+11   2.7182e+12
  1.6363e+02   1.7545e+02   5.1551e+00   7.5041e-01   1.4851e-02   2.6427e+12   8.5360e+12
