## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4398e-01  -1.9509e+00   7.3961e-01   1.0741e-04   1.0574e+07   3.4155e+07
  2.4303e-01   2.6017e-01  -1.3587e+00   7.3975e-01   8.3634e-05   3.4502e+07   1.1144e+08
  4.3931e-01   4.7052e-01  -7.6573e-01   7.3978e-01   7.0749e-05   1.1299e+08   3.6495e+08
  7.9411e-01   8.5145e-01  -1.7252e-01   7.3985e-01   5.8711e-05   3.6988e+08   1.1947e+09
  1.4355e+00   1.5400e+00   4.2005e-01   7.3982e-01   6.9067e-05   1.2078e+09   3.9013e+09
  2.5948e+00   2.7847e+00   1.0123e+00   7.3982e-01   6.4361e-05   3.9388e+09   1.2722e+10
  4.6904e+00   5.0343e+00   1.6043e+00   7.3982e-01   6.5860e-05   1.2818e+10   4.1401e+10
  8.4785e+00   9.1012e+00   2.1964e+00   7.3983e-01   6.6802e-05   4.1671e+10   1.3459e+11
  1.5326e+01   1.6455e+01   2.7885e+00   7.3983e-01   6.7337e-05   1.3533e+11   4.3710e+11
  2.7704e+01   2.9743e+01   3.3804e+00   7.3982e-01   6.6270e-05   4.3867e+11   1.4169e+12
  5.0078e+01   5.3732e+01   3.9718e+00   7.3982e-01   6.6530e-05   1.4067e+12   4.5437e+12
  9.0523e+01   9.7056e+01   4.5630e+00   7.3982e-01   6.3661e-05   4.4615e+12   1.4411e+13
  1.6363e+02   1.7536e+02   5.1545e+00   7.3982e-01   6.1040e-05   1.3868e+13   4.4794e+13
