## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4772e-01  -1.9246e+00   8.2040e-01   1.4916e-02   6.3185e+04   2.0724e+05
  2.4303e-01   2.6006e-01  -1.3598e+00   7.0055e-01   1.5236e-02   2.5301e+05   8.2815e+05
  4.3931e-01   4.7004e-01  -7.6753e-01   7.0291e-01   1.5171e-02   8.0272e+05   2.6271e+06
  7.9411e-01   8.4984e-01  -1.7468e-01   7.0245e-01   1.4991e-02   2.6015e+06   8.5141e+06
  1.4355e+00   1.5373e+00   4.1858e-01   6.9855e-01   1.5022e-02   8.5593e+06   2.8012e+07
  2.5948e+00   2.7814e+00   1.0116e+00   6.9805e-01   1.5102e-02   2.7964e+07   9.1518e+07
  4.6904e+00   5.0316e+00   1.6044e+00   6.9825e-01   1.5088e-02   9.1039e+07   2.9795e+08
  8.4785e+00   9.0986e+00   2.1966e+00   6.9901e-01   1.5024e-02   2.9531e+08   9.6646e+08
  1.5326e+01   1.6455e+01   2.7888e+00   6.9971e-01   1.4962e-02   9.5711e+08   3.1324e+09
  2.7704e+01   2.9739e+01   3.3804e+00   7.0010e-01   1.4962e-02   3.1066e+09   1.0167e+10
  5.0078e+01   5.3738e+01   3.9720e+00   7.0104e-01   1.4907e-02   9.9833e+09   3.2672e+10
  9.0523e+01   9.7063e+01   4.5631e+00   7.0203e-01   1.4867e-02   3.1681e+10   1.0368e+11
  1.6363e+02   1.7542e+02   5.1549e+00   7.0346e-01   1.4739e-02   9.9095e+10   3.2430e+11
