## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4385e-01  -1.9516e+00   8.3197e-01   1.6708e-03   2.4703e+05   4.6673e+05
  2.4303e-01   2.5992e-01  -1.3593e+00   8.3287e-01   8.8970e-04   7.9924e+05   1.5101e+06
  4.3931e-01   4.6986e-01  -7.6657e-01   8.3227e-01   5.6538e-04   2.5897e+06   4.8931e+06
  7.9411e-01   8.5006e-01  -1.7340e-01   8.3238e-01   2.6298e-04   8.3136e+06   1.5708e+07
  1.4355e+00   1.5366e+00   4.1865e-01   8.3213e-01   2.0724e-04   2.6177e+07   4.9460e+07
  2.5948e+00   2.7742e+00   1.0093e+00   8.3214e-01   1.2427e-04   7.9755e+07   1.5069e+08
  4.6904e+00   5.0027e+00   1.5986e+00   8.3217e-01   5.8468e-05   2.2996e+08   4.3450e+08
  8.4785e+00   9.0801e+00   2.1944e+00   8.3218e-01   5.5599e-05   6.5914e+08   1.2454e+09
  1.5326e+01   1.6432e+01   2.7874e+00   8.3217e-01   7.8270e-05   2.0503e+09   3.8740e+09
  2.7704e+01   2.9694e+01   3.3789e+00   8.3219e-01   7.2179e-05   6.3965e+09   1.2086e+10
  5.0078e+01   5.3660e+01   3.9705e+00   8.3217e-01   8.1604e-05   1.9819e+10   3.7446e+10
  9.0523e+01   9.6967e+01   4.5621e+00   8.3217e-01   7.7176e-05   6.1171e+10   1.1558e+11
  1.6363e+02   1.7529e+02   5.1541e+00   8.3219e-01   6.9807e-05   1.8778e+11   3.5479e+11
