## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4405e-01  -1.9507e+00   8.2548e-01   2.2457e-02   9.9238e+05   1.8758e+06
  2.4303e-01   2.6014e-01  -1.3592e+00   8.2646e-01   2.2635e-02   3.2118e+06   6.0711e+06
  4.3931e-01   4.6983e-01  -7.6751e-01   8.2683e-01   2.2549e-02   1.0352e+07   1.9567e+07
  7.9411e-01   8.4930e-01  -1.7503e-01   8.2658e-01   2.2647e-02   3.3054e+07   6.2479e+07
  1.4355e+00   1.5352e+00   4.1705e-01   8.2678e-01   2.2669e-02   1.0336e+08   1.9537e+08
  2.5948e+00   2.7716e+00   1.0077e+00   8.2690e-01   2.2692e-02   3.1112e+08   5.8809e+08
  4.6904e+00   4.9968e+00   1.5968e+00   8.2730e-01   2.2719e-02   8.8280e+08   1.6687e+09
  8.4785e+00   9.0819e+00   2.1942e+00   8.2750e-01   2.2722e-02   2.5258e+09   4.7743e+09
  1.5326e+01   1.6437e+01   2.7874e+00   8.2793e-01   2.2680e-02   7.9779e+09   1.5080e+10
  2.7704e+01   2.9700e+01   3.3789e+00   8.2811e-01   2.2571e-02   2.5182e+10   4.7601e+10
  5.0078e+01   5.3671e+01   3.9705e+00   8.2858e-01   2.2508e-02   7.8737e+10   1.4883e+11
  9.0523e+01   9.6982e+01   4.5621e+00   8.2938e-01   2.2666e-02   2.4473e+11   4.6260e+11
  1.6363e+02   1.7532e+02   5.1542e+00   8.3183e-01   2.2608e-02   7.5745e+11   1.4318e+12
