## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4398e-01  -1.9509e+00   8.1420e-01   2.6537e-04   6.0172e+06   1.1373e+07
  2.4303e-01   2.6009e-01  -1.3590e+00   8.1479e-01   2.1699e-04   1.9596e+07   3.7038e+07
  4.3931e-01   4.7016e-01  -7.6630e-01   8.1446e-01   8.5990e-05   6.4059e+07   1.2108e+08
  7.9411e-01   8.5091e-01  -1.7278e-01   8.1461e-01   4.8795e-05   2.0950e+08   3.9597e+08
  1.4355e+00   1.5396e+00   4.2016e-01   8.1465e-01   7.0118e-05   6.8228e+08   1.2896e+09
  2.5948e+00   2.7839e+00   1.0123e+00   8.1458e-01   4.3807e-05   2.2097e+09   4.1766e+09
  4.6904e+00   5.0324e+00   1.6041e+00   8.1459e-01   6.0345e-05   7.1047e+09   1.3429e+10
  8.4785e+00   9.0935e+00   2.1955e+00   8.1458e-01   5.7418e-05   2.2612e+10   4.2738e+10
  1.5326e+01   1.6441e+01   2.7877e+00   8.1460e-01   5.4435e-05   7.1608e+10   1.3535e+11
  2.7704e+01   2.9719e+01   3.3796e+00   8.1462e-01   5.5450e-05   2.2814e+11   4.3121e+11
  5.0078e+01   5.3694e+01   3.9711e+00   8.1463e-01   5.0099e-05   7.1895e+11   1.3589e+12
  9.0523e+01   9.7017e+01   4.5626e+00   8.1463e-01   5.2853e-05   2.2423e+12   4.2381e+12
  1.6363e+02   1.7529e+02   5.1541e+00   8.1463e-01   4.8482e-05   6.9063e+12   1.3054e+13
