## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4815e-01  -1.9214e+00   1.0519e+00   1.8706e-02   1.0412e+04   1.9734e+04
  2.4303e-01   2.6167e-01  -1.3532e+00   9.2391e-01   2.3630e-02   5.1692e+04   9.7816e+04
  4.3931e-01   4.6950e-01  -7.6887e-01   8.5585e-01   2.2991e-02   1.6325e+05   3.0876e+05
  7.9411e-01   8.5011e-01  -1.7446e-01   8.3107e-01   2.1755e-02   5.2281e+05   9.8865e+05
  1.4355e+00   1.5371e+00   4.1846e-01   8.1650e-01   2.2357e-02   1.7352e+06   3.2814e+06
  2.5948e+00   2.7797e+00   1.0112e+00   8.1379e-01   2.2652e-02   5.6742e+06   1.0730e+07
  4.6904e+00   5.0288e+00   1.6040e+00   8.1395e-01   2.2827e-02   1.8368e+07   3.4734e+07
  8.4785e+00   9.0914e+00   2.1960e+00   8.1455e-01   2.2772e-02   5.8956e+07   1.1149e+08
  1.5326e+01   1.6437e+01   2.7880e+00   8.1511e-01   2.2755e-02   1.8732e+08   3.5424e+08
  2.7704e+01   2.9713e+01   3.3797e+00   8.1509e-01   2.2666e-02   5.9429e+08   1.1238e+09
  5.0078e+01   5.3694e+01   3.9712e+00   8.1555e-01   2.2695e-02   1.8667e+09   3.5301e+09
  9.0523e+01   9.7027e+01   4.5628e+00   8.1622e-01   2.3000e-02   5.8213e+09   1.1009e+10
  1.6363e+02   1.7539e+02   5.1547e+00   8.1868e-01   2.2856e-02   1.8047e+10   3.4129e+10
