## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4328e-01  -1.9557e+00   3.1727e-02   1.0490e-02   1.5560e+03   3.1130e+03
  2.4037e-01   2.5752e-01  -1.3695e+00   5.7102e-04   1.1057e-02   5.1520e+03   1.0325e+04
  4.3133e-01   4.6182e-01  -7.8520e-01  -3.6958e-03   5.1227e-03   1.6672e+04   3.3394e+04
  7.7400e-01   8.2697e-01  -2.0210e-01   5.0438e-03   3.4246e-03   5.2971e+04   1.0609e+05
  1.3889e+00   1.4836e+00   3.8308e-01   1.2523e-03   2.0798e-03   1.7028e+05   3.4106e+05
  2.4922e+00   2.6653e+00   9.6948e-01   3.8999e-04   1.3628e-03   5.4981e+05   1.1014e+06
  4.4721e+00   4.7870e+00   1.5552e+00   8.5229e-04   6.4094e-04   1.7745e+06   3.5542e+06
  8.0249e+00   8.5955e+00   2.1406e+00   4.4304e-04   5.0502e-04   5.7051e+06   1.1428e+07
  1.4400e+01   1.5432e+01   2.7256e+00   3.7966e-04   4.1243e-04   1.8283e+07   3.6621e+07
  2.5840e+01   2.7695e+01   3.3102e+00   3.4485e-04   2.9025e-04   5.8377e+07   1.1693e+08
  4.6368e+01   4.9690e+01   3.8945e+00   2.8489e-04   2.6608e-04   1.8506e+08   3.7068e+08
  8.3204e+01   8.9161e+01   4.4790e+00   1.7412e-04   2.6724e-04   5.8477e+08   1.1713e+09
  1.4930e+02   1.5994e+02   5.0630e+00   1.6942e-04   2.4126e-04   1.8341e+09   3.6738e+09
