## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4322e-01  -1.9565e+00  -9.6952e-04   3.5013e-02   3.2929e+03   6.7340e+03
  2.4037e-01   2.5746e-01  -1.3697e+00  -1.1153e-02   3.2457e-02   1.0374e+04   2.1173e+04
  4.3133e-01   4.6122e-01  -7.8646e-01   7.1827e-03   3.7923e-02   3.3551e+04   6.8457e+04
  7.7400e-01   8.2689e-01  -2.0216e-01  -2.6924e-03   3.5198e-02   1.0742e+05   2.1924e+05
  1.3889e+00   1.4831e+00   3.8287e-01   1.8454e-04   3.6521e-02   3.4638e+05   7.0696e+05
  2.4922e+00   2.6647e+00   9.6930e-01   1.2083e-03   3.6126e-02   1.1201e+06   2.2863e+06
  4.4721e+00   4.7871e+00   1.5553e+00  -9.1756e-04   3.6334e-02   3.6040e+06   7.3560e+06
  8.0249e+00   8.5953e+00   2.1406e+00  -1.1061e-03   3.6251e-02   1.1571e+07   2.3617e+07
  1.4400e+01   1.5430e+01   2.7255e+00  -1.6934e-03   3.6302e-02   3.7004e+07   7.5526e+07
  2.5840e+01   2.7691e+01   3.3100e+00  -3.0995e-03   3.6420e-02   1.1762e+08   2.4008e+08
  4.6368e+01   4.9681e+01   3.8942e+00  -5.0467e-03   3.6366e-02   3.7092e+08   7.5706e+08
  8.3204e+01   8.9184e+01   4.4791e+00  -5.9592e-03   3.6210e-02   1.1737e+09   2.3955e+09
  1.4930e+02   1.5998e+02   5.0632e+00  -5.3230e-03   3.6359e-02   3.7057e+09   7.5624e+09
