## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4340e-01  -1.9550e+00  -3.7479e-05   1.1723e-03   4.9391e+05   9.8928e+05
  2.4037e-01   2.5725e-01  -1.3704e+00   9.0485e-04   5.9293e-04   1.5860e+06   3.1766e+06
  4.3133e-01   4.6116e-01  -7.8636e-01  -4.5847e-04   5.9671e-04   5.0970e+06   1.0209e+07
  7.7400e-01   8.2733e-01  -2.0137e-01  -5.1040e-06   3.1406e-04   1.6413e+07   3.2874e+07
  1.3889e+00   1.4858e+00   3.8448e-01  -7.5478e-05   3.5057e-04   5.2961e+07   1.0608e+08
  2.4922e+00   2.6685e+00   9.7002e-01   4.8572e-05   2.5067e-04   1.7049e+08   3.4150e+08
  4.4721e+00   4.7902e+00   1.5550e+00   2.7373e-05   2.4970e-04   5.4753e+08   1.0967e+09
  8.0249e+00   8.5973e+00   2.1398e+00  -4.3738e-05   2.5967e-04   1.7533e+09   3.5118e+09
  1.4400e+01   1.5425e+01   2.7243e+00   1.2237e-05   2.4058e-04   5.5883e+09   1.1193e+10
  2.5840e+01   2.7677e+01   3.3088e+00   2.9244e-05   2.4095e-04   1.7694e+10   3.5440e+10
  4.6368e+01   4.9655e+01   3.8932e+00   3.0880e-05   2.4877e-04   5.5525e+10   1.1122e+11
  8.3204e+01   8.9137e+01   4.4783e+00   4.7985e-05   2.4102e-04   1.7507e+11   3.5066e+11
  1.4930e+02   1.5994e+02   5.0628e+00   2.9470e-05   2.4682e-04   5.5188e+11   1.1054e+12
