## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.5399e-01  -1.8828e+00  -7.2277e-01   4.0254e-01   6.7657e+00   1.4000e+01
  2.4037e-01   2.5983e-01  -1.3613e+00  -9.5612e-02   1.0698e-01   4.2976e+01   8.7000e+01
  4.3133e-01   4.6325e-01  -7.8210e-01  -1.4647e-01   1.1745e-01   1.0346e+02   2.1200e+02
  7.7400e-01   8.2904e-01  -2.0064e-01   1.4241e-02   4.5497e-02   3.4247e+02   6.9700e+02
  1.3889e+00   1.4850e+00   3.8222e-01  -2.5564e-02   4.5187e-02   1.1553e+03   2.3540e+03
  2.4922e+00   2.6628e+00   9.6652e-01  -5.6340e-02   3.7551e-02   3.8162e+03   7.7770e+03
  4.4721e+00   4.7753e+00   1.5509e+00  -4.5974e-02   3.4045e-02   1.2282e+04   2.5059e+04
  8.0249e+00   8.5750e+00   2.1369e+00  -3.1944e-02   3.4792e-02   3.8910e+04   7.9424e+04
  1.4400e+01   1.5392e+01   2.7224e+00  -3.7986e-02   3.5137e-02   1.2526e+05   2.5565e+05
  2.5840e+01   2.7644e+01   3.3080e+00  -3.7225e-02   3.3626e-02   4.0086e+05   8.1789e+05
  4.6368e+01   4.9622e+01   3.8930e+00  -3.6152e-02   3.3634e-02   1.2717e+06   2.5953e+06
  8.3204e+01   8.9054e+01   4.4777e+00  -3.1812e-02   3.3444e-02   4.0005e+06   8.1631e+06
  1.4930e+02   1.5976e+02   5.0620e+00  -2.6742e-02   3.3248e-02   1.2427e+07   2.5360e+07
