## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4414e-01  -1.9502e+00   7.4169e-01   2.1088e-02   2.0763e+05   3.9847e+05
  2.4303e-01   2.6033e-01  -1.3588e+00   7.3917e-01   2.0966e-02   6.7093e+05   1.2876e+06
  4.3931e-01   4.6997e-01  -7.6760e-01   7.4186e-01   2.1507e-02   2.1632e+06   4.1516e+06
  7.9411e-01   8.4912e-01  -1.7557e-01   7.4165e-01   2.1432e-02   6.9069e+06   1.3256e+07
  1.4355e+00   1.5347e+00   4.1657e-01   7.4174e-01   2.1423e-02   2.1703e+07   4.1652e+07
  2.5948e+00   2.7719e+00   1.0078e+00   7.4203e-01   2.1488e-02   6.5943e+07   1.2656e+08
  4.6904e+00   5.0025e+00   1.5980e+00   7.4251e-01   2.1668e-02   1.9099e+08   3.6655e+08
  8.4785e+00   9.0843e+00   2.1945e+00   7.4324e-01   2.1839e-02   5.6553e+08   1.0854e+09
  1.5326e+01   1.6448e+01   2.7882e+00   7.4343e-01   2.1892e-02   1.8154e+09   3.4842e+09
  2.7704e+01   2.9738e+01   3.3803e+00   7.4331e-01   2.1888e-02   5.8804e+09   1.1286e+10
  5.0078e+01   5.3745e+01   3.9720e+00   7.4342e-01   2.1905e-02   1.8998e+10   3.6461e+10
  9.0523e+01   9.7141e+01   4.5639e+00   7.4354e-01   2.1835e-02   6.1232e+10   1.1752e+11
  1.6363e+02   1.7555e+02   5.1556e+00   7.4399e-01   2.1523e-02   1.9596e+11   3.7610e+11
