## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4405e-01  -1.9506e+00   7.1100e-01   1.6156e-03   2.7835e+05   5.3667e+05
  2.4303e-01   2.6006e-01  -1.3594e+00   7.1087e-01   9.7032e-04   8.9977e+05   1.7347e+06
  4.3931e-01   4.6967e-01  -7.6752e-01   7.1052e-01   4.4869e-04   2.9060e+06   5.6027e+06
  7.9411e-01   8.4934e-01  -1.7456e-01   7.1021e-01   2.3725e-04   9.3345e+06   1.7997e+07
  1.4355e+00   1.5359e+00   4.1797e-01   7.1115e-01   1.4373e-04   2.9468e+07   5.6814e+07
  2.5948e+00   2.7741e+00   1.0091e+00   7.1096e-01   1.4552e-04   9.0085e+07   1.7368e+08
  4.6904e+00   5.0069e+00   1.5993e+00   7.1098e-01   1.2624e-04   2.6336e+08   5.0776e+08
  8.4785e+00   9.0866e+00   2.1951e+00   7.1100e-01   1.2545e-04   7.8129e+08   1.5063e+09
  1.5326e+01   1.6451e+01   2.7885e+00   7.1096e-01   1.2782e-04   2.4899e+09   4.8004e+09
  2.7704e+01   2.9740e+01   3.3804e+00   7.1097e-01   1.2217e-04   8.0148e+09   1.5452e+10
  5.0078e+01   5.3746e+01   3.9720e+00   7.1095e-01   1.2049e-04   2.5782e+10   4.9708e+10
  9.0523e+01   9.7136e+01   4.5638e+00   7.1096e-01   1.1996e-04   8.2720e+10   1.5948e+11
  1.6363e+02   1.7551e+02   5.1554e+00   7.1096e-01   1.3129e-04   2.6338e+11   5.0780e+11
