## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4402e-01  -1.9508e+00   7.1171e-01   5.8437e-04   1.2239e+06   2.3595e+06
  2.4303e-01   2.6004e-01  -1.3594e+00   7.1111e-01   3.0393e-04   3.9617e+06   7.6381e+06
  4.3931e-01   4.6973e-01  -7.6741e-01   7.1050e-01   2.6301e-04   1.2773e+07   2.4627e+07
  7.9411e-01   8.4944e-01  -1.7455e-01   7.1103e-01   1.7883e-04   4.0947e+07   7.8945e+07
  1.4355e+00   1.5359e+00   4.1777e-01   7.1106e-01   1.5189e-04   1.2860e+08   2.4794e+08
  2.5948e+00   2.7734e+00   1.0086e+00   7.1103e-01   1.3525e-04   3.9049e+08   7.5285e+08
  4.6904e+00   5.0049e+00   1.5986e+00   7.1096e-01   1.2219e-04   1.1306e+09   2.1798e+09
  8.4785e+00   9.0886e+00   2.1950e+00   7.1096e-01   1.2379e-04   3.3468e+09   6.4526e+09
  1.5326e+01   1.6454e+01   2.7885e+00   7.1094e-01   1.2372e-04   1.0741e+10   2.0709e+10
  2.7704e+01   2.9743e+01   3.3804e+00   7.1096e-01   1.2614e-04   3.4767e+10   6.7030e+10
  5.0078e+01   5.3751e+01   3.9721e+00   7.1095e-01   1.2381e-04   1.1227e+11   2.1646e+11
  9.0523e+01   9.7134e+01   4.5638e+00   7.1094e-01   1.2739e-04   3.6119e+11   6.9637e+11
  1.6363e+02   1.7552e+02   5.1554e+00   7.1094e-01   1.3315e-04   1.1533e+12   2.2236e+12
