## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4892e-01  -1.9162e+00   9.6266e-01   1.7922e-02   3.4095e+04   6.5861e+04
  2.4303e-01   2.6045e-01  -1.3583e+00   7.1147e-01   2.1959e-02   1.5387e+05   2.9697e+05
  4.3931e-01   4.6995e-01  -7.6779e-01   7.1057e-01   2.2061e-02   4.8942e+05   9.4452e+05
  7.9411e-01   8.4915e-01  -1.7556e-01   7.0788e-01   2.1973e-02   1.5603e+06   3.0113e+06
  1.4355e+00   1.5343e+00   4.1647e-01   6.9929e-01   2.2498e-02   4.9605e+06   9.5732e+06
  2.5948e+00   2.7713e+00   1.0078e+00   6.9801e-01   2.2709e-02   1.5188e+07   2.9311e+07
  4.6904e+00   5.0037e+00   1.5985e+00   6.9853e-01   2.2949e-02   4.4358e+07   8.5607e+07
  8.4785e+00   9.0823e+00   2.1946e+00   6.9965e-01   2.3065e-02   1.3152e+08   2.5383e+08
  1.5326e+01   1.6446e+01   2.7882e+00   6.9988e-01   2.3151e-02   4.1898e+08   8.0859e+08
  2.7704e+01   2.9733e+01   3.3802e+00   7.0009e-01   2.3154e-02   1.3493e+09   2.6040e+09
  5.0078e+01   5.3741e+01   3.9720e+00   7.0029e-01   2.3115e-02   4.3426e+09   8.3809e+09
  9.0523e+01   9.7136e+01   4.5639e+00   7.0039e-01   2.3007e-02   1.3948e+10   2.6918e+10
  1.6363e+02   1.7552e+02   5.1555e+00   7.0073e-01   2.2619e-02   4.4518e+10   8.5916e+10
