## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4724e-01  -1.9279e+00   2.7349e-01   6.1036e-03   1.6105e+04   2.9345e+04
  2.4303e-01   2.5801e-01  -1.3679e+00   2.6705e-02   5.3584e-03   5.8465e+04   1.0647e+05
  4.3931e-01   4.6327e-01  -7.8236e-01   1.9379e-02   2.6958e-03   1.4283e+05   2.6007e+05
  7.9411e-01   8.2789e-01  -2.0168e-01   3.0098e-02   1.5484e-03   2.8627e+05   5.2128e+05
  1.4355e+00   1.5009e+00   3.9368e-01   2.7385e-02   1.6720e-03   5.4762e+05   9.9718e+05
  2.5948e+00   2.7680e+00   1.0063e+00   2.5480e-02   1.1506e-03   1.3248e+06   2.4124e+06
  4.6904e+00   5.0151e+00   1.6004e+00   2.2691e-02   1.6058e-03   3.9385e+06   7.1718e+06
  8.4785e+00   9.0732e+00   2.1933e+00   1.7377e-02   1.6586e-03   1.2005e+07   2.1861e+07
  1.5326e+01   1.6422e+01   2.7867e+00   1.4492e-02   1.6993e-03   3.7444e+07   6.8184e+07
  2.7704e+01   2.9700e+01   3.3791e+00   1.5936e-02   1.5104e-03   1.1918e+08   2.1702e+08
  5.0078e+01   5.3711e+01   3.9715e+00   1.3869e-02   1.5007e-03   3.7946e+08   6.9098e+08
  9.0523e+01   9.7097e+01   4.5636e+00   1.1459e-02   1.3537e-03   1.2119e+09   2.2069e+09
  1.6363e+02   1.7554e+02   5.1557e+00   9.0663e-03   1.1173e-03   3.8603e+09   7.0294e+09
