## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4415e-01  -1.9500e+00   1.1435e+00   2.2933e-02   7.2678e+04   1.3234e+05
  2.4303e-01   2.6020e-01  -1.3592e+00   1.1411e+00   2.1620e-02   2.3567e+05   4.2914e+05
  4.3931e-01   4.6999e-01  -7.6735e-01   1.1431e+00   2.2121e-02   7.6115e+05   1.3860e+06
  7.9411e-01   8.4959e-01  -1.7482e-01   1.1442e+00   2.1768e-02   2.4490e+06   4.4594e+06
  1.4355e+00   1.5367e+00   4.1800e-01   1.1471e+00   2.1503e-02   7.8031e+06   1.4209e+07
  2.5948e+00   2.7830e+00   1.0120e+00   1.1477e+00   2.1346e-02   2.5180e+07   4.5851e+07
  4.6904e+00   5.0325e+00   1.6043e+00   1.1471e+00   2.1351e-02   8.1936e+07   1.4920e+08
  8.4785e+00   9.0996e+00   2.1967e+00   1.1460e+00   2.1351e-02   2.6648e+08   4.8523e+08
  1.5326e+01   1.6457e+01   2.7891e+00   1.1448e+00   2.1381e-02   8.6792e+08   1.5804e+09
  2.7704e+01   2.9756e+01   3.3812e+00   1.1457e+00   2.1316e-02   2.8298e+09   5.1529e+09
  5.0078e+01   5.3787e+01   3.9730e+00   1.1455e+00   2.1239e-02   9.1883e+09   1.6731e+10
  9.0523e+01   9.7202e+01   4.5646e+00   1.1459e+00   2.1086e-02   2.9761e+10   5.4192e+10
  1.6363e+02   1.7567e+02   5.1564e+00   1.1468e+00   2.0736e-02   9.5884e+10   1.7460e+11
