## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4393e-01  -1.9512e+00   1.1456e+00   1.0466e-03   5.4922e+05   9.9957e+05
  2.4303e-01   2.5997e-01  -1.3593e+00   1.1468e+00   6.8061e-04   1.7815e+06   3.2423e+06
  4.3931e-01   4.7005e-01  -7.6652e-01   1.1459e+00   3.4326e-04   5.7557e+06   1.0475e+07
  7.9411e-01   8.5050e-01  -1.7343e-01   1.1466e+00   3.6931e-04   1.8481e+07   3.3635e+07
  1.4355e+00   1.5382e+00   4.1886e-01   1.1460e+00   2.5631e-04   5.8560e+07   1.0658e+08
  2.5948e+00   2.7849e+00   1.0124e+00   1.1461e+00   2.2846e-04   1.8870e+08   3.4344e+08
  4.6904e+00   5.0345e+00   1.6044e+00   1.1462e+00   2.4475e-04   6.1482e+08   1.1190e+09
  8.4785e+00   9.1010e+00   2.1965e+00   1.1461e+00   2.5134e-04   2.0036e+09   3.6465e+09
  1.5326e+01   1.6456e+01   2.7889e+00   1.1461e+00   2.3852e-04   6.5382e+09   1.1899e+10
  2.7704e+01   2.9756e+01   3.3811e+00   1.1461e+00   2.2402e-04   2.1309e+10   3.8783e+10
  5.0078e+01   5.3784e+01   3.9729e+00   1.1462e+00   2.2810e-04   6.9216e+10   1.2597e+11
  9.0523e+01   9.7195e+01   4.5645e+00   1.1462e+00   2.0622e-04   2.2414e+11   4.0794e+11
  1.6363e+02   1.7566e+02   5.1563e+00   1.1462e+00   1.7200e-04   7.2148e+11   1.3131e+12
