## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6777e-01   2.8420e-01  -1.2700e+00   1.1969e+00   5.5794e-04   2.6204e+06   3.9791e+06
  4.7996e-01   5.0775e-01  -6.8913e-01   1.1965e+00   2.7114e-04   7.0085e+06   1.0643e+07
  8.6031e-01   9.1189e-01  -1.0358e-01   1.1965e+00   2.6141e-04   1.7246e+07   2.6190e+07
  1.5421e+00   1.6504e+00   4.9014e-01   1.1966e+00   1.6312e-04   5.1956e+07   7.8901e+07
  2.7641e+00   2.9595e+00   1.0740e+00   1.1967e+00   1.0824e-04   1.6483e+08   2.5031e+08
  4.9545e+00   5.3052e+00   1.6575e+00   1.1967e+00   9.6124e-05   5.2236e+08   7.9325e+08
  8.8808e+00   9.5090e+00   2.2410e+00   1.1967e+00   9.9304e-05   1.6500e+09   2.5056e+09
  1.5918e+01   1.7061e+01   2.8253e+00   1.1966e+00   8.4685e-05   5.2273e+09   7.9381e+09
  2.8533e+01   3.0571e+01   3.4084e+00   1.1967e+00   8.3887e-05   1.6719e+10   2.5390e+10
  5.1145e+01   5.4790e+01   3.9917e+00   1.1967e+00   9.1950e-05   5.2711e+10   8.0046e+10
  9.1675e+01   9.8136e+01   4.5745e+00   1.1967e+00   9.8437e-05   1.6458e+11   2.4992e+11
  1.6432e+02   1.7587e+02   5.1578e+00   1.1967e+00   1.0178e-04   5.0741e+11   7.7054e+11
