## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4875e-01  -1.9174e+00   2.5975e-01   1.1393e-02   6.3342e+04   1.2006e+05
  2.4303e-01   2.6036e-01  -1.3587e+00   1.2882e-02   2.5715e-03   2.7958e+05   5.2960e+05
  4.3931e-01   4.6993e-01  -7.6785e-01   1.1733e-02   1.7217e-03   8.8540e+05   1.6771e+06
  7.9411e-01   8.4905e-01  -1.7573e-01   1.0433e-02   1.2090e-03   2.8231e+06   5.3477e+06
  1.4355e+00   1.5344e+00   4.1651e-01   3.7603e-03   7.1225e-04   8.9908e+06   1.7031e+07
  2.5948e+00   2.7716e+00   1.0079e+00   2.9299e-03   7.6643e-04   2.7589e+07   5.2262e+07
  4.6904e+00   5.0044e+00   1.5987e+00   3.0585e-03   8.5216e-04   8.0904e+07   1.5326e+08
  8.4785e+00   9.0820e+00   2.1945e+00   3.6173e-03   8.1076e-04   2.3987e+08   4.5438e+08
  1.5326e+01   1.6443e+01   2.7880e+00   3.7926e-03   8.3003e-04   7.6214e+08   1.4437e+09
  2.7704e+01   2.9723e+01   3.3798e+00   4.1254e-03   8.6861e-04   2.4477e+09   4.6367e+09
  5.0078e+01   5.3712e+01   3.9714e+00   4.3635e-03   8.7924e-04   7.7995e+09   1.4775e+10
  9.0523e+01   9.7022e+01   4.5627e+00   4.4776e-03   8.4605e-04   2.4583e+10   4.6569e+10
  1.6363e+02   1.7533e+02   5.1544e+00   4.3626e-03   7.1837e-04   7.6322e+10   1.4458e+11
