## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4401e-01  -1.9509e+00   8.3336e-01   5.6414e-04   2.5512e+06   4.8263e+06
  2.4303e-01   2.6004e-01  -1.3594e+00   8.3335e-01   2.6953e-04   8.2558e+06   1.5618e+07
  4.3931e-01   4.6974e-01  -7.6739e-01   8.3353e-01   1.9835e-04   2.6625e+07   5.0371e+07
  7.9411e-01   8.4948e-01  -1.7450e-01   8.3372e-01   1.0629e-04   8.5370e+07   1.6150e+08
  1.4355e+00   1.5359e+00   4.1782e-01   8.3362e-01   1.0878e-04   2.6827e+08   5.0753e+08
  2.5948e+00   2.7736e+00   1.0087e+00   8.3362e-01   1.1007e-04   8.1552e+08   1.5428e+09
  4.6904e+00   5.0051e+00   1.5987e+00   8.3366e-01   1.1248e-04   2.3655e+09   4.4752e+09
  8.4785e+00   9.0886e+00   2.1950e+00   8.3365e-01   9.8714e-05   6.9914e+09   1.3226e+10
  1.5326e+01   1.6449e+01   2.7882e+00   8.3366e-01   1.0230e-04   2.2337e+10   4.2258e+10
  2.7704e+01   2.9729e+01   3.3799e+00   8.3364e-01   1.0529e-04   7.1824e+10   1.3588e+11
  5.0078e+01   5.3710e+01   3.9713e+00   8.3364e-01   1.0659e-04   2.2851e+11   4.3230e+11
  9.0523e+01   9.6988e+01   4.5623e+00   8.3364e-01   1.0016e-04   7.1626e+11   1.3550e+12
  1.6363e+02   1.7526e+02   5.1539e+00   8.3364e-01   1.0276e-04   2.2020e+12   4.1659e+12
