## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4405e-01  -1.9506e+00   8.2377e-01   1.1862e-03   5.7167e+05   1.1006e+06
  2.4303e-01   2.6004e-01  -1.3594e+00   8.2371e-01   4.8005e-04   1.8503e+06   3.5621e+06
  4.3931e-01   4.6965e-01  -7.6757e-01   8.2515e-01   3.0857e-04   5.9752e+06   1.1504e+07
  7.9411e-01   8.4934e-01  -1.7455e-01   8.2436e-01   2.0885e-04   1.9198e+07   3.6961e+07
  1.4355e+00   1.5359e+00   4.1803e-01   8.2409e-01   1.4072e-04   6.0606e+07   1.1668e+08
  2.5948e+00   2.7743e+00   1.0092e+00   8.2413e-01   8.9207e-05   1.8554e+08   3.5722e+08
  4.6904e+00   5.0072e+00   1.5994e+00   8.2422e-01   1.0528e-04   5.4351e+08   1.0464e+09
  8.4785e+00   9.0869e+00   2.1951e+00   8.2417e-01   9.3204e-05   1.6111e+09   3.1018e+09
  1.5326e+01   1.6447e+01   2.7883e+00   8.2419e-01   8.4018e-05   5.1158e+09   9.8491e+09
  2.7704e+01   2.9727e+01   3.3799e+00   8.2421e-01   9.4220e-05   1.6365e+10   3.1507e+10
  5.0078e+01   5.3705e+01   3.9713e+00   8.2420e-01   9.8504e-05   5.1844e+10   9.9812e+10
  9.0523e+01   9.6980e+01   4.5622e+00   8.2420e-01   9.9401e-05   1.6186e+11   3.1162e+11
  1.6363e+02   1.7523e+02   5.1537e+00   8.2420e-01   1.0040e-04   4.9547e+11   9.5390e+11
