## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4414e-01  -1.9502e+00   8.2282e-01   2.7348e-02   3.6512e+05   7.0375e+05
  2.4303e-01   2.6033e-01  -1.3588e+00   8.2029e-01   2.7681e-02   1.1802e+06   2.2748e+06
  4.3931e-01   4.7002e-01  -7.6751e-01   8.2293e-01   2.7386e-02   3.8009e+06   7.3259e+06
  7.9411e-01   8.4915e-01  -1.7557e-01   8.2318e-01   2.7511e-02   1.2154e+07   2.3427e+07
  1.4355e+00   1.5348e+00   4.1662e-01   8.2379e-01   2.7446e-02   3.8259e+07   7.3741e+07
  2.5948e+00   2.7723e+00   1.0079e+00   8.2483e-01   2.7470e-02   1.1661e+08   2.2476e+08
  4.6904e+00   5.0031e+00   1.5981e+00   8.2701e-01   2.7449e-02   3.3912e+08   6.5364e+08
  8.4785e+00   9.0836e+00   2.1945e+00   8.2965e-01   2.7431e-02   1.0035e+09   1.9342e+09
  1.5326e+01   1.6446e+01   2.7881e+00   8.3113e-01   2.7377e-02   3.2114e+09   6.1897e+09
  2.7704e+01   2.9729e+01   3.3800e+00   8.3199e-01   2.7350e-02   1.0371e+10   1.9990e+10
  5.0078e+01   5.3723e+01   3.9716e+00   8.3356e-01   2.7291e-02   3.3187e+10   6.3965e+10
  9.0523e+01   9.7032e+01   4.5627e+00   8.3474e-01   2.7218e-02   1.0498e+11   2.0235e+11
  1.6363e+02   1.7537e+02   5.1546e+00   8.3649e-01   2.7143e-02   3.2731e+11   6.3088e+11
