## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4401e-01  -1.9509e+00   8.2398e-01   5.1449e-04   2.5068e+06   4.8261e+06
  2.4303e-01   2.6003e-01  -1.3594e+00   8.2396e-01   3.4238e-04   8.1116e+06   1.5617e+07
  4.3931e-01   4.6973e-01  -7.6740e-01   8.2413e-01   1.8526e-04   2.6164e+07   5.0372e+07
  7.9411e-01   8.4948e-01  -1.7451e-01   8.2431e-01   7.5898e-05   8.3886e+07   1.6150e+08
  1.4355e+00   1.5359e+00   4.1782e-01   8.2417e-01   1.1724e-04   2.6362e+08   5.0754e+08
  2.5948e+00   2.7736e+00   1.0087e+00   8.2421e-01   8.5940e-05   8.0137e+08   1.5428e+09
  4.6904e+00   5.0051e+00   1.5987e+00   8.2423e-01   9.2324e-05   2.3245e+09   4.4752e+09
  8.4785e+00   9.0886e+00   2.1950e+00   8.2423e-01   8.8303e-05   6.8701e+09   1.3227e+10
  1.5326e+01   1.6449e+01   2.7882e+00   8.2423e-01   9.4615e-05   2.1949e+10   4.2257e+10
  2.7704e+01   2.9729e+01   3.3799e+00   8.2422e-01   9.8283e-05   7.0582e+10   1.3589e+11
  5.0078e+01   5.3712e+01   3.9713e+00   8.2421e-01   1.0046e-04   2.2455e+11   4.3231e+11
  9.0523e+01   9.6984e+01   4.5622e+00   8.2421e-01   9.7835e-05   7.0370e+11   1.3548e+12
  1.6363e+02   1.7526e+02   5.1539e+00   8.2421e-01   9.9140e-05   2.1643e+12   4.1668e+12
