## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4875e-01  -1.9174e+00   1.0797e+00   2.5887e-02   6.2262e+04   1.2006e+05
  2.4303e-01   2.6035e-01  -1.3587e+00   8.3242e-01   2.7635e-02   2.7474e+05   5.2955e+05
  4.3931e-01   4.6992e-01  -7.6786e-01   8.3414e-01   2.7892e-02   8.7019e+05   1.6772e+06
  7.9411e-01   8.4908e-01  -1.7569e-01   8.3329e-01   2.7534e-02   2.7749e+06   5.3484e+06
  1.4355e+00   1.5345e+00   4.1656e-01   8.2734e-01   2.7617e-02   8.8365e+06   1.7032e+07
  2.5948e+00   2.7716e+00   1.0079e+00   8.2770e-01   2.7829e-02   2.7114e+07   5.2261e+07
  4.6904e+00   5.0043e+00   1.5987e+00   8.3010e-01   2.7769e-02   7.9510e+07   1.5325e+08
  8.4785e+00   9.0821e+00   2.1945e+00   8.3318e-01   2.7737e-02   2.3575e+08   4.5440e+08
  1.5326e+01   1.6443e+01   2.7880e+00   8.3495e-01   2.7707e-02   7.4904e+08   1.4437e+09
  2.7704e+01   2.9723e+01   3.3798e+00   8.3614e-01   2.7723e-02   2.4056e+09   4.6367e+09
  5.0078e+01   5.3713e+01   3.9714e+00   8.3796e-01   2.7655e-02   7.6656e+09   1.4775e+10
  9.0523e+01   9.7023e+01   4.5627e+00   8.3923e-01   2.7578e-02   2.4161e+10   4.6569e+10
  1.6363e+02   1.7533e+02   5.1544e+00   8.4087e-01   2.7487e-02   7.5010e+10   1.4458e+11
