## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4875e-01  -1.9174e+00   2.6309e-01   1.1398e-02   6.4417e+04   1.2007e+05
  2.4303e-01   2.6036e-01  -1.3587e+00   1.3069e-02   2.3990e-03   2.8436e+05   5.2960e+05
  4.3931e-01   4.6993e-01  -7.6784e-01   1.2075e-02   1.7126e-03   9.0060e+05   1.6772e+06
  7.9411e-01   8.4909e-01  -1.7568e-01   1.0817e-02   1.1860e-03   2.8718e+06   5.3485e+06
  1.4355e+00   1.5344e+00   4.1654e-01   3.9209e-03   5.2679e-04   9.1444e+06   1.7031e+07
  2.5948e+00   2.7716e+00   1.0079e+00   3.0562e-03   7.5762e-04   2.8060e+07   5.2261e+07
  4.6904e+00   5.0043e+00   1.5987e+00   3.1796e-03   8.1246e-04   8.2285e+07   1.5325e+08
  8.4785e+00   9.0820e+00   2.1945e+00   3.6025e-03   7.8008e-04   2.4397e+08   4.5440e+08
  1.5326e+01   1.6443e+01   2.7880e+00   3.8132e-03   7.8891e-04   7.7516e+08   1.4437e+09
  2.7704e+01   2.9723e+01   3.3798e+00   4.1093e-03   8.1513e-04   2.4895e+09   4.6366e+09
  5.0078e+01   5.3713e+01   3.9714e+00   4.3581e-03   8.2246e-04   7.9329e+09   1.4775e+10
  9.0523e+01   9.7022e+01   4.5627e+00   4.4597e-03   7.9333e-04   2.5003e+10   4.6569e+10
  1.6363e+02   1.7533e+02   5.1544e+00   4.3634e-03   6.7637e-04   7.7624e+10   1.4458e+11
