## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4405e-01  -1.9506e+00   8.2428e-01   1.0567e-03   5.8098e+05   1.1005e+06
  2.4303e-01   2.6003e-01  -1.3594e+00   8.2438e-01   5.3642e-04   1.8806e+06   3.5623e+06
  4.3931e-01   4.6964e-01  -7.6758e-01   8.2569e-01   2.9350e-04   6.0729e+06   1.1503e+07
  7.9411e-01   8.4933e-01  -1.7457e-01   8.2512e-01   1.6857e-04   1.9512e+07   3.6961e+07
  1.4355e+00   1.5359e+00   4.1802e-01   8.2472e-01   1.4691e-04   6.1599e+07   1.1668e+08
  2.5948e+00   2.7743e+00   1.0092e+00   8.2477e-01   1.0023e-04   1.8858e+08   3.5721e+08
  4.6904e+00   5.0072e+00   1.5994e+00   8.2481e-01   1.0441e-04   5.5243e+08   1.0464e+09
  8.4785e+00   9.0868e+00   2.1951e+00   8.2478e-01   8.4996e-05   1.6375e+09   3.1017e+09
  1.5326e+01   1.6448e+01   2.7883e+00   8.2480e-01   7.4833e-05   5.1999e+09   9.8496e+09
  2.7704e+01   2.9727e+01   3.3799e+00   8.2482e-01   8.9658e-05   1.6633e+10   3.1505e+10
  5.0078e+01   5.3706e+01   3.9713e+00   8.2481e-01   8.7615e-05   5.2696e+10   9.9818e+10
  9.0523e+01   9.6983e+01   4.5622e+00   8.2481e-01   9.3171e-05   1.6453e+11   3.1165e+11
  1.6363e+02   1.7522e+02   5.1537e+00   8.2481e-01   9.5557e-05   5.0344e+11   9.5363e+11
