## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4414e-01  -1.9502e+00   8.2287e-01   2.7373e-02   3.7109e+05   7.0378e+05
  2.4303e-01   2.6033e-01  -1.3588e+00   8.2042e-01   2.7720e-02   1.1995e+06   2.2748e+06
  4.3931e-01   4.7003e-01  -7.6751e-01   8.2307e-01   2.7557e-02   3.8629e+06   7.3260e+06
  7.9411e-01   8.4914e-01  -1.7558e-01   8.2325e-01   2.7605e-02   1.2352e+07   2.3426e+07
  1.4355e+00   1.5348e+00   4.1661e-01   8.2386e-01   2.7489e-02   3.8882e+07   7.3741e+07
  2.5948e+00   2.7723e+00   1.0079e+00   8.2493e-01   2.7487e-02   1.1851e+08   2.2477e+08
  4.6904e+00   5.0031e+00   1.5981e+00   8.2705e-01   2.7410e-02   3.4463e+08   6.5360e+08
  8.4785e+00   9.0836e+00   2.1945e+00   8.2968e-01   2.7395e-02   1.0199e+09   1.9343e+09
  1.5326e+01   1.6446e+01   2.7880e+00   8.3120e-01   2.7370e-02   3.2634e+09   6.1893e+09
  2.7704e+01   2.9728e+01   3.3799e+00   8.3210e-01   2.7338e-02   1.0539e+10   1.9988e+10
  5.0078e+01   5.3720e+01   3.9715e+00   8.3376e-01   2.7296e-02   3.3724e+10   6.3961e+10
  9.0523e+01   9.7038e+01   4.5628e+00   8.3509e-01   2.7268e-02   1.0673e+11   2.0241e+11
  1.6363e+02   1.7536e+02   5.1545e+00   8.3705e-01   2.7244e-02   3.3249e+11   6.3059e+11
