## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4875e-01  -1.9174e+00   1.0819e+00   2.6278e-02   6.3271e+04   1.2007e+05
  2.4303e-01   2.6035e-01  -1.3587e+00   8.3317e-01   2.8193e-02   2.7921e+05   5.2954e+05
  4.3931e-01   4.6992e-01  -7.6787e-01   8.3445e-01   2.8143e-02   8.8435e+05   1.6772e+06
  7.9411e-01   8.4908e-01  -1.7570e-01   8.3370e-01   2.7663e-02   2.8200e+06   5.3482e+06
  1.4355e+00   1.5344e+00   4.1654e-01   8.2757e-01   2.7702e-02   8.9806e+06   1.7032e+07
  2.5948e+00   2.7716e+00   1.0079e+00   8.2788e-01   2.7839e-02   2.7556e+07   5.2261e+07
  4.6904e+00   5.0043e+00   1.5987e+00   8.3014e-01   2.7761e-02   8.0803e+07   1.5325e+08
  8.4785e+00   9.0821e+00   2.1945e+00   8.3324e-01   2.7745e-02   2.3959e+08   4.5441e+08
  1.5326e+01   1.6443e+01   2.7880e+00   8.3500e-01   2.7730e-02   7.6123e+08   1.4437e+09
  2.7704e+01   2.9723e+01   3.3798e+00   8.3621e-01   2.7720e-02   2.4448e+09   4.6367e+09
  5.0078e+01   5.3713e+01   3.9714e+00   8.3813e-01   2.7656e-02   7.7904e+09   1.4775e+10
  9.0523e+01   9.7024e+01   4.5627e+00   8.3955e-01   2.7599e-02   2.4556e+10   4.6572e+10
  1.6363e+02   1.7532e+02   5.1543e+00   8.4142e-01   2.7573e-02   7.6211e+10   1.4454e+11
