## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4402e-01  -1.9508e+00   1.2605e+00   1.4239e-03   6.0207e+05   1.1000e+06
  2.4303e-01   2.6004e-01  -1.3594e+00   1.2595e+00   5.6753e-04   1.9504e+06   3.5636e+06
  4.3931e-01   4.6965e-01  -7.6758e-01   1.2598e+00   3.4824e-04   6.2936e+06   1.1499e+07
  7.9411e-01   8.4929e-01  -1.7462e-01   1.2602e+00   2.1271e-04   2.0233e+07   3.6968e+07
  1.4355e+00   1.5360e+00   4.1804e-01   1.2602e+00   1.3910e-04   6.3887e+07   1.1673e+08
  2.5948e+00   2.7743e+00   1.0092e+00   1.2601e+00   1.2014e-04   1.9553e+08   3.5724e+08
  4.6904e+00   5.0072e+00   1.5994e+00   1.2602e+00   1.1703e-04   5.7276e+08   1.0465e+09
  8.4785e+00   9.0869e+00   2.1951e+00   1.2601e+00   1.2818e-04   1.6978e+09   3.1020e+09
  1.5326e+01   1.6448e+01   2.7883e+00   1.2602e+00   1.2400e-04   5.3915e+09   9.8507e+09
  2.7704e+01   2.9727e+01   3.3799e+00   1.2601e+00   1.2124e-04   1.7245e+10   3.1508e+10
  5.0078e+01   5.3706e+01   3.9713e+00   1.2601e+00   1.1577e-04   5.4637e+10   9.9826e+10
  9.0523e+01   9.6984e+01   4.5622e+00   1.2601e+00   1.0546e-04   1.7059e+11   3.1167e+11
  1.6363e+02   1.7522e+02   5.1537e+00   1.2601e+00   8.8797e-05   5.2199e+11   9.5370e+11
