## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4761e-01  -1.9254e+00   2.3890e-01   9.7058e-03   9.2291e+04   1.6888e+05
  2.4303e-01   2.5995e-01  -1.3603e+00   1.4101e-02   1.7729e-03   3.6663e+05   6.7030e+05
  4.3931e-01   4.6977e-01  -7.6814e-01   1.2262e-02   1.5633e-03   1.1494e+06   2.1013e+06
  7.9411e-01   8.4892e-01  -1.7580e-01   1.1320e-02   1.0569e-03   3.6540e+06   6.6800e+06
  1.4355e+00   1.5345e+00   4.1665e-01   3.9934e-03   7.0201e-04   1.1609e+07   2.1222e+07
  2.5948e+00   2.7719e+00   1.0080e+00   3.0779e-03   7.5056e-04   3.5585e+07   6.5055e+07
  4.6904e+00   5.0045e+00   1.5987e+00   3.0378e-03   8.3887e-04   1.0427e+08   1.9062e+08
  8.4785e+00   9.0823e+00   2.1946e+00   3.4037e-03   8.0248e-04   3.0890e+08   5.6472e+08
  1.5326e+01   1.6444e+01   2.7880e+00   3.6020e-03   8.4433e-04   9.8082e+08   1.7931e+09
  2.7704e+01   2.9724e+01   3.3799e+00   3.8536e-03   8.7340e-04   3.1488e+09   5.7567e+09
  5.0078e+01   5.3714e+01   3.9714e+00   4.1189e-03   8.8168e-04   1.0031e+10   1.8338e+10
  9.0523e+01   9.7021e+01   4.5626e+00   4.2005e-03   8.5519e-04   3.1593e+10   5.7758e+10
  1.6363e+02   1.7532e+02   5.1543e+00   4.0777e-03   7.3941e-04   9.7973e+10   1.7912e+11
