## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4413e-01  -1.9502e+00   1.2639e+00   2.7342e-02   4.7746e+05   8.7285e+05
  2.4303e-01   2.6032e-01  -1.3588e+00   1.2609e+00   2.7312e-02   1.5436e+06   2.8220e+06
  4.3931e-01   4.7000e-01  -7.6750e-01   1.2633e+00   2.7275e-02   4.9713e+06   9.0881e+06
  7.9411e-01   8.4913e-01  -1.7553e-01   1.2634e+00   2.7309e-02   1.5901e+07   2.9069e+07
  1.4355e+00   1.5349e+00   4.1673e-01   1.2639e+00   2.7168e-02   5.0059e+07   9.1514e+07
  2.5948e+00   2.7725e+00   1.0080e+00   1.2649e+00   2.7108e-02   1.5258e+08   2.7893e+08
  4.6904e+00   5.0034e+00   1.5981e+00   1.2669e+00   2.7020e-02   4.4376e+08   8.1126e+08
  8.4785e+00   9.0838e+00   2.1945e+00   1.2694e+00   2.6978e-02   1.3132e+09   2.4007e+09
  1.5326e+01   1.6446e+01   2.7881e+00   1.2709e+00   2.6930e-02   4.2012e+09   7.6806e+09
  2.7704e+01   2.9728e+01   3.3800e+00   1.2718e+00   2.6893e-02   1.3566e+10   2.4801e+10
  5.0078e+01   5.3721e+01   3.9715e+00   1.2736e+00   2.6849e-02   4.3405e+10   7.9353e+10
  9.0523e+01   9.7034e+01   4.5628e+00   1.2753e+00   2.6830e-02   1.3727e+11   2.5096e+11
  1.6363e+02   1.7536e+02   5.1545e+00   1.2776e+00   2.6816e-02   4.2739e+11   7.8134e+11
