## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4403e-01  -1.9507e+00   1.2607e+00   6.8470e-04   2.6418e+06   4.8267e+06
  2.4303e-01   2.6005e-01  -1.3594e+00   1.2600e+00   2.8462e-04   8.5469e+06   1.5616e+07
  4.3931e-01   4.6975e-01  -7.6738e-01   1.2600e+00   1.6189e-04   2.7576e+07   5.0383e+07
  7.9411e-01   8.4949e-01  -1.7450e-01   1.2601e+00   1.5014e-04   8.8375e+07   1.6147e+08
  1.4355e+00   1.5359e+00   4.1783e-01   1.2601e+00   1.1604e-04   2.7781e+08   5.0758e+08
  2.5948e+00   2.7737e+00   1.0087e+00   1.2601e+00   1.1564e-04   8.4450e+08   1.5430e+09
  4.6904e+00   5.0051e+00   1.5987e+00   1.2601e+00   1.2010e-04   2.4496e+09   4.4755e+09
  8.4785e+00   9.0885e+00   2.1950e+00   1.2601e+00   1.2906e-04   7.2397e+09   1.3227e+10
  1.5326e+01   1.6450e+01   2.7882e+00   1.2601e+00   1.2227e-04   2.3132e+10   4.2263e+10
  2.7704e+01   2.9730e+01   3.3799e+00   1.2601e+00   1.1652e-04   7.4378e+10   1.3589e+11
  5.0078e+01   5.3710e+01   3.9713e+00   1.2601e+00   1.1188e-04   2.3661e+11   4.3230e+11
  9.0523e+01   9.6989e+01   4.5623e+00   1.2601e+00   1.0375e-04   7.4176e+11   1.3552e+12
  1.6363e+02   1.7525e+02   5.1539e+00   1.2601e+00   9.0019e-05   2.2799e+12   4.1655e+12
