## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4761e-01  -1.9254e+00   1.5028e+00   2.6944e-02   9.2291e+04   1.6888e+05
  2.4303e-01   2.5995e-01  -1.3603e+00   1.2750e+00   2.7938e-02   3.6663e+05   6.7030e+05
  4.3931e-01   4.6977e-01  -7.6814e-01   1.2756e+00   2.7698e-02   1.1494e+06   2.1013e+06
  7.9411e-01   8.4892e-01  -1.7580e-01   1.2747e+00   2.7169e-02   3.6540e+06   6.6800e+06
  1.4355e+00   1.5345e+00   4.1665e-01   1.2679e+00   2.7241e-02   1.1609e+07   2.1222e+07
  2.5948e+00   2.7719e+00   1.0080e+00   1.2680e+00   2.7344e-02   3.5585e+07   6.5055e+07
  4.6904e+00   5.0045e+00   1.5987e+00   1.2700e+00   2.7241e-02   1.0427e+08   1.9062e+08
  8.4785e+00   9.0823e+00   2.1946e+00   1.2728e+00   2.7190e-02   3.0890e+08   5.6472e+08
  1.5326e+01   1.6444e+01   2.7880e+00   1.2745e+00   2.7132e-02   9.8082e+08   1.7931e+09
  2.7704e+01   2.9724e+01   3.3799e+00   1.2757e+00   2.7103e-02   3.1488e+09   5.7567e+09
  5.0078e+01   5.3714e+01   3.9714e+00   1.2777e+00   2.7030e-02   1.0031e+10   1.8338e+10
  9.0523e+01   9.7021e+01   4.5626e+00   1.2795e+00   2.7002e-02   3.1593e+10   5.7758e+10
  1.6363e+02   1.7532e+02   5.1543e+00   1.2817e+00   2.6999e-02   9.7973e+10   1.7912e+11
