## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4407e-01  -1.9504e+00   1.2027e+00   1.6037e-03   2.1534e+05   3.9530e+05
  2.4303e-01   2.6008e-01  -1.3593e+00   1.1999e+00   1.1064e-03   7.0251e+05   1.2895e+06
  4.3931e-01   4.6988e-01  -7.6705e-01   1.2005e+00   5.4760e-04   2.2924e+06   4.2080e+06
  7.9411e-01   8.5012e-01  -1.7354e-01   1.2007e+00   3.6195e-04   7.5159e+06   1.3796e+07
  1.4355e+00   1.5388e+00   4.2009e-01   1.2006e+00   1.6927e-04   2.4605e+07   4.5165e+07
  2.5948e+00   2.7836e+00   1.0128e+00   1.2006e+00   1.0591e-04   8.0251e+07   1.4731e+08
  4.6904e+00   5.0341e+00   1.6052e+00   1.2005e+00   7.2025e-05   2.6120e+08   4.7947e+08
  8.4785e+00   9.1034e+00   2.1974e+00   1.2004e+00   7.1846e-05   8.4816e+08   1.5569e+09
  1.5326e+01   1.6458e+01   2.7893e+00   1.2005e+00   6.4832e-05   2.7492e+09   5.0465e+09
  2.7704e+01   2.9746e+01   3.3809e+00   1.2004e+00   7.5012e-05   8.8918e+09   1.6322e+10
  5.0078e+01   5.3745e+01   3.9722e+00   1.2005e+00   7.4262e-05   2.8439e+10   5.2203e+10
  9.0523e+01   9.7060e+01   4.5631e+00   1.2004e+00   7.1121e-05   8.9646e+10   1.6455e+11
  1.6363e+02   1.7535e+02   5.1545e+00   1.2004e+00   7.0280e-05   2.7728e+11   5.0898e+11
