## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4740e-01  -1.9270e+00   2.3926e-01   1.1802e-02   3.2314e+04   5.9442e+04
  2.4303e-01   2.6020e-01  -1.3592e+00   3.4205e-02   3.6029e-03   1.3199e+05   2.4251e+05
  4.3931e-01   4.7005e-01  -7.6758e-01   2.7581e-02   2.2188e-03   4.1745e+05   7.6680e+05
  7.9411e-01   8.4990e-01  -1.7463e-01   2.1956e-02   1.8342e-03   1.3545e+06   2.4880e+06
  1.4355e+00   1.5371e+00   4.1850e-01   1.0629e-02   2.1326e-03   4.4893e+06   8.2464e+06
  2.5948e+00   2.7807e+00   1.0115e+00   9.3574e-03   2.3285e-03   1.4719e+07   2.7037e+07
  4.6904e+00   5.0312e+00   1.6045e+00   9.6644e-03   2.3700e-03   4.8003e+07   8.8177e+07
  8.4785e+00   9.0984e+00   2.1968e+00   1.0097e-02   2.3272e-03   1.5597e+08   2.8650e+08
  1.5326e+01   1.6454e+01   2.7890e+00   1.0281e-02   2.3803e-03   5.0610e+08   9.2965e+08
  2.7704e+01   2.9744e+01   3.3808e+00   1.0391e-02   2.3949e-03   1.6428e+09   3.0177e+09
  5.0078e+01   5.3748e+01   3.9722e+00   1.0438e-02   2.3834e-03   5.2797e+09   9.6983e+09
  9.0523e+01   9.7082e+01   4.5634e+00   1.0222e-02   2.2560e-03   1.6768e+10   3.0800e+10
  1.6363e+02   1.7543e+02   5.1550e+00   9.9098e-03   2.0705e-03   5.2477e+10   9.6394e+10
