## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4418e-01  -1.9499e+00   1.1857e+00   2.6553e-02   5.3556e+05   9.8370e+05
  2.4303e-01   2.6042e-01  -1.3584e+00   1.1839e+00   2.6958e-02   1.7446e+06   3.2045e+06
  4.3931e-01   4.7034e-01  -7.6680e-01   1.1840e+00   2.7056e-02   5.6937e+06   1.0458e+07
  7.9411e-01   8.5015e-01  -1.7430e-01   1.1850e+00   2.6965e-02   1.8615e+07   3.4192e+07
  1.4355e+00   1.5380e+00   4.1886e-01   1.1850e+00   2.6862e-02   6.1009e+07   1.1206e+08
  2.5948e+00   2.7830e+00   1.0119e+00   1.1851e+00   2.6933e-02   1.9968e+08   3.6678e+08
  4.6904e+00   5.0333e+00   1.6044e+00   1.1852e+00   2.6879e-02   6.5206e+08   1.1977e+09
  8.4785e+00   9.0998e+00   2.1964e+00   1.1859e+00   2.6817e-02   2.1221e+09   3.8979e+09
  1.5326e+01   1.6452e+01   2.7885e+00   1.1869e+00   2.6741e-02   6.8975e+09   1.2669e+10
  2.7704e+01   2.9737e+01   3.3803e+00   1.1875e+00   2.6716e-02   2.2419e+10   4.1179e+10
  5.0078e+01   5.3744e+01   3.9721e+00   1.1889e+00   2.6657e-02   7.2248e+10   1.3271e+11
  9.0523e+01   9.7091e+01   4.5634e+00   1.1905e+00   2.6613e-02   2.3018e+11   4.2279e+11
  1.6363e+02   1.7545e+02   5.1551e+00   1.1930e+00   2.6410e-02   7.2353e+11   1.3290e+12
