## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4405e-01  -1.9506e+00   1.2003e+00   4.5425e-04   2.9140e+06   5.3490e+06
  2.4303e-01   2.6014e-01  -1.3590e+00   1.2002e+00   1.7151e-04   9.4907e+06   1.7421e+07
  4.3931e-01   4.7003e-01  -7.6676e-01   1.2004e+00   1.8893e-04   3.1018e+07   5.6938e+07
  7.9411e-01   8.5040e-01  -1.7335e-01   1.2005e+00   1.0658e-04   1.0169e+08   1.8666e+08
  1.4355e+00   1.5392e+00   4.2009e-01   1.2005e+00   4.6513e-05   3.3281e+08   6.1091e+08
  2.5948e+00   2.7843e+00   1.0127e+00   1.2005e+00   7.1983e-05   1.0859e+09   1.9933e+09
  4.6904e+00   5.0349e+00   1.6049e+00   1.2005e+00   6.1800e-05   3.5348e+09   6.4885e+09
  8.4785e+00   9.1046e+00   2.1970e+00   1.2004e+00   6.4513e-05   1.1489e+10   2.1089e+10
  1.5326e+01   1.6457e+01   2.7887e+00   1.2004e+00   6.2881e-05   3.7284e+10   6.8439e+10
  2.7704e+01   2.9741e+01   3.3804e+00   1.2004e+00   6.1525e-05   1.2076e+11   2.2167e+11
  5.0078e+01   5.3740e+01   3.9720e+00   1.2004e+00   6.3760e-05   3.8742e+11   7.1115e+11
  9.0523e+01   9.7062e+01   4.5631e+00   1.2004e+00   6.2758e-05   1.2261e+12   2.2507e+12
  1.6363e+02   1.7538e+02   5.1547e+00   1.2004e+00   6.1734e-05   3.8168e+12   7.0062e+12
