## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4522e-01  -1.9426e+00  -9.9282e-02   3.6683e-02   8.3578e+02   1.3330e+03
  2.4037e-01   2.5845e-01  -1.3657e+00   1.7407e-02   1.4229e-02   3.2519e+03   5.1880e+03
  4.3133e-01   4.6098e-01  -7.8735e-01   1.8361e-02   7.9443e-03   9.8780e+03   1.5760e+04
  7.7400e-01   8.3042e-01  -1.9858e-01   3.8448e-02   5.4708e-03   3.1409e+04   5.0113e+04
  1.3889e+00   1.4862e+00   3.8370e-01   1.9703e-03   4.7192e-03   1.0620e+05   1.6944e+05
  2.4922e+00   2.6629e+00   9.6747e-01  -2.5681e-03   4.9101e-03   3.4512e+05   5.5061e+05
  4.4721e+00   4.7809e+00   1.5532e+00  -2.6080e-03   3.7956e-03   1.1097e+06   1.7704e+06
  8.0249e+00   8.5890e+00   2.1391e+00  -1.0113e-03   3.7585e-03   3.5750e+06   5.7037e+06
  1.4400e+01   1.5424e+01   2.7245e+00  -7.1307e-04   3.0346e-03   1.1490e+07   1.8332e+07
  2.5840e+01   2.7683e+01   3.3093e+00  -8.7744e-05   2.0597e-03   3.6853e+07   5.8799e+07
  4.6368e+01   4.9662e+01   3.8936e+00   1.1164e-05   1.6564e-03   1.1737e+08   1.8727e+08
  8.3204e+01   8.9059e+01   4.4775e+00  -3.8430e-04   1.4992e-03   3.6804e+08   5.8726e+08
  1.4930e+02   1.5969e+02   5.0613e+00  -1.8694e-03   1.6010e-03   1.1307e+09   1.8043e+09
