## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4343e-01  -1.9547e+00   4.6728e-02   5.0113e-02   1.0184e+05   1.6245e+05
  2.4037e-01   2.5713e-01  -1.3707e+00   4.9161e-02   5.0425e-02   3.2829e+05   5.2372e+05
  4.3133e-01   4.6081e-01  -7.8679e-01   4.9730e-02   5.0833e-02   1.0534e+06   1.6805e+06
  7.7400e-01   8.2664e-01  -2.0171e-01   4.8672e-02   5.0814e-02   3.3921e+06   5.4114e+06
  1.3889e+00   1.4852e+00   3.8466e-01   4.9169e-02   5.0773e-02   1.0970e+07   1.7500e+07
  2.4922e+00   2.6683e+00   9.7066e-01   4.9073e-02   5.0882e-02   3.5387e+07   5.6454e+07
  4.4721e+00   4.7914e+00   1.5560e+00   4.9311e-02   5.0894e-02   1.1393e+08   1.8176e+08
  8.0249e+00   8.6008e+00   2.1408e+00   4.9411e-02   5.1002e-02   3.6600e+08   5.8388e+08
  1.4400e+01   1.5437e+01   2.7255e+00   4.9594e-02   5.1151e-02   1.1731e+09   1.8714e+09
  2.5840e+01   2.7701e+01   3.3099e+00   5.0080e-02   5.1330e-02   3.7458e+09   5.9757e+09
  4.6368e+01   4.9695e+01   3.8941e+00   5.1649e-02   5.1432e-02   1.1886e+10   1.8963e+10
  8.3204e+01   8.9113e+01   4.4780e+00   5.5635e-02   5.1206e-02   3.7318e+10   5.9539e+10
  1.4930e+02   1.5972e+02   5.0615e+00   6.3853e-02   5.0090e-02   1.1463e+11   1.8291e+11
