## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4387e-01  -1.9515e+00   1.1239e+00   2.0174e-03   2.3276e+05   4.3438e+05
  2.4303e-01   2.5990e-01  -1.3594e+00   1.1273e+00   7.2311e-04   7.5516e+05   1.4094e+06
  4.3931e-01   4.6983e-01  -7.6666e-01   1.1255e+00   2.9479e-04   2.4443e+06   4.5618e+06
  7.9411e-01   8.5010e-01  -1.7337e-01   1.1252e+00   2.2690e-04   7.8500e+06   1.4650e+07
  1.4355e+00   1.5366e+00   4.1868e-01   1.1250e+00   1.7678e-04   2.4721e+07   4.6136e+07
  2.5948e+00   2.7742e+00   1.0093e+00   1.1251e+00   1.6726e-04   7.5339e+07   1.4060e+08
  4.6904e+00   5.0027e+00   1.5986e+00   1.1250e+00   1.1482e-04   2.1746e+08   4.0584e+08
  8.4785e+00   9.0803e+00   2.1945e+00   1.1250e+00   9.3094e-05   6.2323e+08   1.1631e+09
  1.5326e+01   1.6432e+01   2.7874e+00   1.1250e+00   7.8791e-05   1.9387e+09   3.6182e+09
  2.7704e+01   2.9694e+01   3.3789e+00   1.1250e+00   7.9660e-05   6.0479e+09   1.1287e+10
  5.0078e+01   5.3660e+01   3.9704e+00   1.1250e+00   6.3335e-05   1.8739e+10   3.4973e+10
  9.0523e+01   9.6963e+01   4.5620e+00   1.1250e+00   6.1026e-05   5.7828e+10   1.0792e+11
  1.6363e+02   1.7528e+02   5.1541e+00   1.1250e+00   4.7616e-05   1.7753e+11   3.3133e+11
