## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4818e-01  -1.9211e+00   2.2247e-01   1.3427e-02   1.4868e+04   2.7816e+04
  2.4303e-01   2.6070e-01  -1.3571e+00   1.0773e-01   3.5650e-03   6.7751e+04   1.2661e+05
  4.3931e-01   4.6868e-01  -7.7060e-01   4.2466e-02   1.9224e-03   2.0464e+05   3.8226e+05
  7.9411e-01   8.4881e-01  -1.7593e-01   1.6469e-02   1.8133e-03   6.3393e+05   1.1840e+06
  1.4355e+00   1.5341e+00   4.1653e-01   1.7555e-03   1.1052e-03   2.0238e+06   3.7797e+06
  2.5948e+00   2.7702e+00   1.0077e+00  -5.2921e-04   9.7661e-04   6.1915e+06   1.1564e+07
  4.6904e+00   4.9985e+00   1.5977e+00  -3.0985e-04   8.3672e-04   1.7874e+07   3.3383e+07
  8.4785e+00   9.0747e+00   2.1939e+00   7.2652e-04   6.5228e-04   5.1266e+07   9.5749e+07
  1.5326e+01   1.6428e+01   2.7872e+00   1.1606e-03   6.7489e-04   1.5973e+08   2.9833e+08
  2.7704e+01   2.9690e+01   3.3788e+00   9.8202e-04   6.2747e-04   4.9836e+08   9.3077e+08
  5.0078e+01   5.3658e+01   3.9704e+00   9.6321e-04   5.9010e-04   1.5462e+09   2.8879e+09
  9.0523e+01   9.6965e+01   4.5621e+00   5.2902e-04   6.0966e-04   4.7797e+09   8.9269e+09
  1.6363e+02   1.7532e+02   5.1543e+00   2.7897e-04   5.3667e-04   1.4736e+10   2.7523e+10
