## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4407e-01  -1.9505e+00   1.1162e+00   2.2294e-02   1.2491e+06   2.3328e+06
  2.4303e-01   2.6015e-01  -1.3591e+00   1.1167e+00   2.2604e-02   4.0364e+06   7.5386e+06
  4.3931e-01   4.6984e-01  -7.6747e-01   1.1155e+00   2.2634e-02   1.3002e+07   2.4283e+07
  7.9411e-01   8.4944e-01  -1.7489e-01   1.1160e+00   2.2678e-02   4.1530e+07   7.7563e+07
  1.4355e+00   1.5354e+00   4.1714e-01   1.1161e+00   2.2653e-02   1.2991e+08   2.4262e+08
  2.5948e+00   2.7717e+00   1.0077e+00   1.1162e+00   2.2661e-02   3.9116e+08   7.3055e+08
  4.6904e+00   4.9970e+00   1.5968e+00   1.1165e+00   2.2637e-02   1.1106e+09   2.0743e+09
  8.4785e+00   9.0817e+00   2.1941e+00   1.1167e+00   2.2555e-02   3.1792e+09   5.9376e+09
  1.5326e+01   1.6436e+01   2.7873e+00   1.1172e+00   2.2472e-02   1.0042e+10   1.8754e+10
  2.7704e+01   2.9701e+01   3.3789e+00   1.1175e+00   2.2374e-02   3.1696e+10   5.9197e+10
  5.0078e+01   5.3672e+01   3.9705e+00   1.1179e+00   2.2300e-02   9.9086e+10   1.8506e+11
  9.0523e+01   9.6977e+01   4.5621e+00   1.1187e+00   2.2285e-02   3.0781e+11   5.7488e+11
  1.6363e+02   1.7533e+02   5.1543e+00   1.1210e+00   2.1868e-02   9.5300e+11   1.7799e+12
