## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4387e-01  -1.9515e+00   1.1245e+00   1.7046e-04   1.5222e+07   2.8408e+07
  2.4303e-01   2.5998e-01  -1.3591e+00   1.1249e+00   1.7431e-04   4.9306e+07   9.2020e+07
  4.3931e-01   4.7016e-01  -7.6619e-01   1.1250e+00   8.2645e-05   1.5933e+08   2.9736e+08
  7.9411e-01   8.5038e-01  -1.7350e-01   1.1250e+00   8.8686e-05   5.0872e+08   9.4942e+08
  1.4355e+00   1.5365e+00   4.1794e-01   1.1250e+00   6.7565e-05   1.5875e+09   2.9628e+09
  2.5948e+00   2.7729e+00   1.0080e+00   1.1250e+00   6.2177e-05   4.7723e+09   8.9066e+09
  4.6904e+00   4.9981e+00   1.5969e+00   1.1250e+00   7.1505e-05   1.3530e+10   2.5251e+10
  8.4785e+00   9.0836e+00   2.1943e+00   1.1250e+00   7.2362e-05   3.8704e+10   7.2232e+10
  1.5326e+01   1.6439e+01   2.7874e+00   1.1250e+00   7.3195e-05   1.2216e+11   2.2800e+11
  2.7704e+01   2.9701e+01   3.3789e+00   1.1250e+00   7.1500e-05   3.8505e+11   7.1861e+11
  5.0078e+01   5.3670e+01   3.9704e+00   1.1250e+00   6.4599e-05   1.2027e+12   2.2445e+12
  9.0523e+01   9.6962e+01   4.5619e+00   1.1250e+00   6.2943e-05   3.7261e+12   6.9541e+12
  1.6363e+02   1.7528e+02   5.1540e+00   1.1250e+00   5.0449e-05   1.1486e+13   2.1436e+13
