## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4388e-01  -1.9515e+00   7.1998e-01   2.0908e-03   2.2562e+05   4.3438e+05
  2.4303e-01   2.5990e-01  -1.3594e+00   7.1835e-01   7.3297e-04   7.3199e+05   1.4092e+06
  4.3931e-01   4.6983e-01  -7.6665e-01   7.2088e-01   5.0248e-04   2.3695e+06   4.5618e+06
  7.9411e-01   8.5007e-01  -1.7340e-01   7.1992e-01   2.8539e-04   7.6092e+06   1.4649e+07
  1.4355e+00   1.5366e+00   4.1867e-01   7.2032e-01   2.9020e-04   2.3964e+07   4.6137e+07
  2.5948e+00   2.7743e+00   1.0094e+00   7.2009e-01   1.3318e-04   7.3041e+07   1.4062e+08
  4.6904e+00   5.0027e+00   1.5986e+00   7.2032e-01   1.2557e-04   2.1078e+08   4.0580e+08
  8.4785e+00   9.0800e+00   2.1944e+00   7.2023e-01   1.2883e-04   6.0411e+08   1.1631e+09
  1.5326e+01   1.6432e+01   2.7874e+00   7.2024e-01   1.3006e-04   1.8794e+09   3.6182e+09
  2.7704e+01   2.9694e+01   3.3789e+00   7.2024e-01   1.1631e-04   5.8630e+09   1.1288e+10
  5.0078e+01   5.3660e+01   3.9704e+00   7.2020e-01   1.1989e-04   1.8166e+10   3.4973e+10
  9.0523e+01   9.6966e+01   4.5621e+00   7.2024e-01   1.1864e-04   5.6065e+10   1.0794e+11
  1.6363e+02   1.7529e+02   5.1541e+00   7.2024e-01   1.1350e-04   1.7210e+11   3.3134e+11
