## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4812e-01  -1.9216e+00   2.4952e-01   1.8251e-02   1.0165e+04   1.9627e+04
  2.4303e-01   2.6157e-01  -1.3536e+00   1.1067e-01   4.2449e-03   5.0075e+04   9.6583e+04
  4.3931e-01   4.6921e-01  -7.6951e-01   4.1000e-02   1.8878e-03   1.5657e+05   3.0188e+05
  7.9411e-01   8.4915e-01  -1.7563e-01   1.5416e-02   2.2361e-03   4.9102e+05   9.4664e+05
  1.4355e+00   1.5341e+00   4.1642e-01   2.4709e-03   1.0171e-03   1.5738e+06   3.0341e+06
  2.5948e+00   2.7699e+00   1.0075e+00  -4.0426e-04   1.0034e-03   4.8240e+06   9.3002e+06
  4.6904e+00   4.9981e+00   1.5976e+00  -1.2229e-04   1.0808e-03   1.3940e+07   2.6876e+07
  8.4785e+00   9.0745e+00   2.1939e+00   8.8216e-04   1.0558e-03   4.0001e+07   7.7119e+07
  1.5326e+01   1.6427e+01   2.7872e+00   1.3028e-03   1.0558e-03   1.2469e+08   2.4039e+08
  2.7704e+01   2.9689e+01   3.3788e+00   1.1637e-03   9.5020e-04   3.8919e+08   7.5034e+08
  5.0078e+01   5.3658e+01   3.9704e+00   1.1214e-03   9.0886e-04   1.2078e+09   2.3285e+09
  9.0523e+01   9.6971e+01   4.5621e+00   6.9195e-04   9.3660e-04   3.7356e+09   7.2021e+09
  1.6363e+02   1.7533e+02   5.1543e+00   4.4274e-04   7.6027e-04   1.1522e+10   2.2214e+10
