## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4407e-01  -1.9505e+00   7.1216e-01   2.3239e-02   9.7678e+05   1.8832e+06
  2.4303e-01   2.6010e-01  -1.3594e+00   7.1151e-01   2.3235e-02   3.1519e+06   6.0766e+06
  4.3931e-01   4.6985e-01  -7.6746e-01   7.1120e-01   2.3362e-02   1.0159e+07   1.9585e+07
  7.9411e-01   8.4933e-01  -1.7499e-01   7.1173e-01   2.3271e-02   3.2442e+07   6.2546e+07
  1.4355e+00   1.5353e+00   4.1710e-01   7.1157e-01   2.3207e-02   1.0147e+08   1.9562e+08
  2.5948e+00   2.7717e+00   1.0077e+00   7.1168e-01   2.3322e-02   3.0556e+08   5.8910e+08
  4.6904e+00   4.9970e+00   1.5968e+00   7.1197e-01   2.3406e-02   8.6741e+08   1.6723e+09
  8.4785e+00   9.0820e+00   2.1942e+00   7.1214e-01   2.3419e-02   2.4826e+09   4.7862e+09
  1.5326e+01   1.6436e+01   2.7874e+00   7.1269e-01   2.3388e-02   7.8428e+09   1.5120e+10
  2.7704e+01   2.9700e+01   3.3789e+00   7.1287e-01   2.3284e-02   2.4757e+10   4.7730e+10
  5.0078e+01   5.3671e+01   3.9705e+00   7.1317e-01   2.3236e-02   7.7412e+10   1.4924e+11
  9.0523e+01   9.6982e+01   4.5621e+00   7.1363e-01   2.3390e-02   2.4062e+11   4.6389e+11
  1.6363e+02   1.7532e+02   5.1542e+00   7.1560e-01   2.3335e-02   7.4476e+11   1.4358e+12
