## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4388e-01  -1.9514e+00   7.2005e-01   2.6324e-04   1.4754e+07   2.8405e+07
  2.4303e-01   2.5997e-01  -1.3592e+00   7.2031e-01   1.6476e-04   4.7783e+07   9.1992e+07
  4.3931e-01   4.7016e-01  -7.6620e-01   7.2023e-01   1.2757e-04   1.5445e+08   2.9736e+08
  7.9411e-01   8.5038e-01  -1.7350e-01   7.2025e-01   1.1631e-04   4.9313e+08   9.4938e+08
  1.4355e+00   1.5365e+00   4.1795e-01   7.2021e-01   1.1684e-04   1.5388e+09   2.9626e+09
  2.5948e+00   2.7729e+00   1.0081e+00   7.2025e-01   1.2000e-04   4.6258e+09   8.9058e+09
  4.6904e+00   4.9981e+00   1.5969e+00   7.2026e-01   1.1801e-04   1.3115e+10   2.5250e+10
  8.4785e+00   9.0833e+00   2.1942e+00   7.2026e-01   1.2586e-04   3.7513e+10   7.2221e+10
  1.5326e+01   1.6438e+01   2.7874e+00   7.2025e-01   1.2180e-04   1.1840e+11   2.2795e+11
  2.7704e+01   2.9704e+01   3.3790e+00   7.2025e-01   1.1466e-04   3.7341e+11   7.1889e+11
  5.0078e+01   5.3665e+01   3.9704e+00   7.2023e-01   1.1993e-04   1.1651e+12   2.2431e+12
  9.0523e+01   9.6968e+01   4.5620e+00   7.2025e-01   1.2031e-04   3.6137e+12   6.9572e+12
  1.6363e+02   1.7527e+02   5.1539e+00   7.2025e-01   1.1364e-04   1.1126e+13   2.1421e+13
