## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4812e-01  -1.9216e+00   9.6168e-01   1.9220e-02   1.0165e+04   1.9627e+04
  2.4303e-01   2.6157e-01  -1.3536e+00   8.2218e-01   2.5065e-02   5.0075e+04   9.6583e+04
  4.3931e-01   4.6921e-01  -7.6951e-01   7.5220e-01   2.3786e-02   1.5657e+05   3.0188e+05
  7.9411e-01   8.4915e-01  -1.7563e-01   7.2714e-01   2.2564e-02   4.9102e+05   9.4664e+05
  1.4355e+00   1.5341e+00   4.1642e-01   7.1405e-01   2.3421e-02   1.5738e+06   3.0341e+06
  2.5948e+00   2.7699e+00   1.0075e+00   7.1128e-01   2.3712e-02   4.8240e+06   9.3002e+06
  4.6904e+00   4.9981e+00   1.5976e+00   7.1185e-01   2.4070e-02   1.3940e+07   2.6876e+07
  8.4785e+00   9.0745e+00   2.1939e+00   7.1302e-01   2.4052e-02   4.0001e+07   7.7119e+07
  1.5326e+01   1.6427e+01   2.7872e+00   7.1400e-01   2.4076e-02   1.2469e+08   2.4039e+08
  2.7704e+01   2.9689e+01   3.3788e+00   7.1403e-01   2.3931e-02   3.8919e+08   7.5034e+08
  5.0078e+01   5.3658e+01   3.9704e+00   7.1429e-01   2.3922e-02   1.2078e+09   2.3285e+09
  9.0523e+01   9.6971e+01   4.5621e+00   7.1432e-01   2.4087e-02   3.7356e+09   7.2021e+09
  1.6363e+02   1.7533e+02   5.1543e+00   7.1604e-01   2.3908e-02   1.1522e+10   2.2214e+10
