## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4391e-01  -1.9512e+00   1.1238e+00   2.2419e-03   7.9324e+04   1.4807e+05
  2.4303e-01   2.5990e-01  -1.3594e+00   1.1242e+00   1.6411e-03   2.5778e+05   4.8113e+05
  4.3931e-01   4.6988e-01  -7.6654e-01   1.1214e+00   5.5662e-04   8.3332e+05   1.5553e+06
  7.9411e-01   8.5006e-01  -1.7340e-01   1.1228e+00   3.5913e-04   2.6720e+06   4.9870e+06
  1.4355e+00   1.5363e+00   4.1851e-01   1.1234e+00   1.9706e-04   8.4027e+06   1.5683e+07
  2.5948e+00   2.7740e+00   1.0093e+00   1.1232e+00   2.1345e-04   2.5555e+07   4.7697e+07
  4.6904e+00   5.0016e+00   1.5985e+00   1.1233e+00   1.1702e-04   7.3506e+07   1.3720e+08
  8.4785e+00   9.0813e+00   2.1947e+00   1.1234e+00   6.8293e-05   2.1032e+08   3.9256e+08
  1.5326e+01   1.6435e+01   2.7877e+00   1.1233e+00   8.0452e-05   6.5631e+08   1.2250e+09
  2.7704e+01   2.9695e+01   3.3790e+00   1.1233e+00   9.6112e-05   2.0516e+09   3.8292e+09
  5.0078e+01   5.3639e+01   3.9702e+00   1.1233e+00   8.9633e-05   6.3314e+09   1.1817e+10
  9.0523e+01   9.6893e+01   4.5614e+00   1.1232e+00   9.1335e-05   1.9277e+10   3.5979e+10
  1.6363e+02   1.7512e+02   5.1531e+00   1.1232e+00   8.3825e-05   5.7729e+10   1.0775e+11
