## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4366e-01  -1.9522e+00   1.1089e+00   2.0575e-02   7.9987e+05   1.4940e+06
  2.4303e-01   2.6011e-01  -1.3579e+00   1.1085e+00   2.0637e-02   2.5984e+06   4.8531e+06
  4.3931e-01   4.7069e-01  -7.6466e-01   1.1063e+00   2.0491e-02   8.4229e+06   1.5732e+07
  7.9411e-01   8.5119e-01  -1.7232e-01   1.1017e+00   2.0492e-02   2.6979e+07   5.0387e+07
  1.4355e+00   1.5382e+00   4.1900e-01   1.0946e+00   2.0830e-02   8.4969e+07   1.5869e+08
  2.5948e+00   2.7750e+00   1.0086e+00   1.0901e+00   2.1156e-02   2.5837e+08   4.8251e+08
  4.6904e+00   5.0006e+00   1.5972e+00   1.0911e+00   2.1467e-02   7.4186e+08   1.3855e+09
  8.4785e+00   9.0752e+00   2.1934e+00   1.0922e+00   2.1402e-02   2.1257e+09   3.9699e+09
  1.5326e+01   1.6428e+01   2.7870e+00   1.0930e+00   2.1370e-02   6.6494e+09   1.2418e+10
  2.7704e+01   2.9693e+01   3.3787e+00   1.0930e+00   2.1254e-02   2.0791e+10   3.8828e+10
  5.0078e+01   5.3637e+01   3.9700e+00   1.0930e+00   2.0968e-02   6.4203e+10   1.1990e+11
  9.0523e+01   9.6891e+01   4.5613e+00   1.0928e+00   2.0992e-02   1.9579e+11   3.6564e+11
  1.6363e+02   1.7514e+02   5.1532e+00   1.0956e+00   2.1394e-02   5.8977e+11   1.1014e+12
