## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4375e-01  -1.9517e+00   1.1228e+00   3.2862e-04   1.0202e+07   1.9042e+07
  2.4303e-01   2.6034e-01  -1.3573e+00   1.1228e+00   3.7698e-04   3.3110e+07   6.1797e+07
  4.3931e-01   4.7097e-01  -7.6464e-01   1.1228e+00   2.3587e-04   1.0703e+08   1.9977e+08
  7.9411e-01   8.5122e-01  -1.7295e-01   1.1230e+00   1.6989e-04   3.4194e+08   6.3822e+08
  1.4355e+00   1.5373e+00   4.1807e-01   1.1232e+00   2.0215e-04   1.0728e+09   2.0023e+09
  2.5948e+00   2.7742e+00   1.0083e+00   1.1233e+00   1.7940e-04   3.2593e+09   6.0833e+09
  4.6904e+00   5.0008e+00   1.5974e+00   1.1233e+00   1.0529e-04   9.3702e+09   1.7489e+10
  8.4785e+00   9.0798e+00   2.1938e+00   1.1234e+00   7.3655e-05   2.6847e+10   5.0109e+10
  1.5326e+01   1.6434e+01   2.7873e+00   1.1233e+00   8.2430e-05   8.3903e+10   1.5660e+11
  2.7704e+01   2.9700e+01   3.3789e+00   1.1233e+00   9.7179e-05   2.6227e+11   4.8952e+11
  5.0078e+01   5.3644e+01   3.9701e+00   1.1233e+00   8.9352e-05   8.0892e+11   1.5098e+12
  9.0523e+01   9.6884e+01   4.5612e+00   1.1232e+00   9.1227e-05   2.4624e+12   4.5960e+12
  1.6363e+02   1.7510e+02   5.1530e+00   1.1232e+00   8.4122e-05   7.3754e+12   1.3766e+13
