## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4392e-01  -1.9512e+00   1.1236e+00   2.2661e-03   8.8465e+04   1.6511e+05
  2.4303e-01   2.5998e-01  -1.3591e+00   1.1187e+00   1.3259e-03   2.8689e+05   5.3545e+05
  4.3931e-01   4.6986e-01  -7.6660e-01   1.1229e+00   9.7122e-04   9.2833e+05   1.7327e+06
  7.9411e-01   8.5009e-01  -1.7338e-01   1.1231e+00   4.5476e-04   2.9869e+06   5.5749e+06
  1.4355e+00   1.5368e+00   4.1884e-01   1.1235e+00   2.7606e-04   9.4318e+06   1.7604e+07
  2.5948e+00   2.7748e+00   1.0096e+00   1.1232e+00   1.2954e-04   2.8854e+07   5.3854e+07
  4.6904e+00   5.0041e+00   1.5990e+00   1.1231e+00   9.3516e-05   8.3803e+07   1.5641e+08
  8.4785e+00   9.0778e+00   2.1943e+00   1.1232e+00   7.5029e-05   2.4070e+08   4.4925e+08
  1.5326e+01   1.6428e+01   2.7873e+00   1.1232e+00   6.1136e-05   7.4433e+08   1.3893e+09
  2.7704e+01   2.9690e+01   3.3789e+00   1.1233e+00   6.0380e-05   2.3082e+09   4.3081e+09
  5.0078e+01   5.3654e+01   3.9705e+00   1.1233e+00   6.7586e-05   7.1341e+09   1.3315e+10
  9.0523e+01   9.6970e+01   4.5622e+00   1.1233e+00   4.9876e-05   2.1994e+10   4.1052e+10
  1.6363e+02   1.7531e+02   5.1542e+00   1.1233e+00   4.7660e-05   6.7544e+10   1.2607e+11
