## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4370e-01  -1.9520e+00   1.1499e+00   2.2278e-02   8.3489e+05   1.5594e+06
  2.4303e-01   2.6008e-01  -1.3580e+00   1.1496e+00   2.2384e-02   2.7157e+06   5.0725e+06
  4.3931e-01   4.7069e-01  -7.6469e-01   1.1468e+00   2.2331e-02   8.8082e+06   1.6452e+07
  7.9411e-01   8.5123e-01  -1.7229e-01   1.1398e+00   2.2500e-02   2.8248e+07   5.2762e+07
  1.4355e+00   1.5385e+00   4.1916e-01   1.1274e+00   2.2520e-02   8.9217e+07   1.6663e+08
  2.5948e+00   2.7758e+00   1.0089e+00   1.1192e+00   2.2659e-02   2.7294e+08   5.0976e+08
  4.6904e+00   5.0027e+00   1.5977e+00   1.1184e+00   2.2964e-02   7.9004e+08   1.4755e+09
  8.4785e+00   9.0731e+00   2.1931e+00   1.1196e+00   2.2951e-02   2.2733e+09   4.2457e+09
  1.5326e+01   1.6421e+01   2.7866e+00   1.1203e+00   2.3049e-02   7.0492e+09   1.3166e+10
  2.7704e+01   2.9690e+01   3.3787e+00   1.1204e+00   2.2913e-02   2.1913e+10   4.0926e+10
  5.0078e+01   5.3660e+01   3.9704e+00   1.1207e+00   2.2989e-02   6.7789e+10   1.2661e+11
  9.0523e+01   9.6963e+01   4.5620e+00   1.1208e+00   2.3205e-02   2.0932e+11   3.9094e+11
  1.6363e+02   1.7532e+02   5.1542e+00   1.1226e+00   2.2956e-02   6.4552e+11   1.2056e+12
