## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4376e-01  -1.9516e+00   1.1228e+00   3.2468e-04   1.0199e+07   1.9035e+07
  2.4303e-01   2.6033e-01  -1.3574e+00   1.1230e+00   3.2880e-04   3.3146e+07   6.1865e+07
  4.3931e-01   4.7097e-01  -7.6463e-01   1.1230e+00   2.5503e-04   1.0729e+08   2.0025e+08
  7.9411e-01   8.5130e-01  -1.7284e-01   1.1232e+00   1.9681e-04   3.4350e+08   6.4112e+08
  1.4355e+00   1.5376e+00   4.1831e-01   1.1232e+00   1.3156e-04   1.0818e+09   2.0192e+09
  2.5948e+00   2.7751e+00   1.0087e+00   1.1233e+00   1.0777e-04   3.3064e+09   6.1712e+09
  4.6904e+00   5.0034e+00   1.5979e+00   1.1231e+00   7.5596e-05   9.5944e+09   1.7907e+10
  8.4785e+00   9.0772e+00   2.1935e+00   1.1232e+00   7.5820e-05   2.7599e+10   5.1513e+10
  1.5326e+01   1.6427e+01   2.7868e+00   1.1232e+00   5.8788e-05   8.5455e+10   1.5950e+11
  2.7704e+01   2.9694e+01   3.3788e+00   1.1233e+00   5.9080e-05   2.6529e+11   4.9514e+11
  5.0078e+01   5.3659e+01   3.9704e+00   1.1233e+00   6.6027e-05   8.1963e+11   1.5298e+12
  9.0523e+01   9.6962e+01   4.5620e+00   1.1233e+00   5.1330e-05   2.5273e+12   4.7171e+12
  1.6363e+02   1.7528e+02   5.1540e+00   1.1233e+00   4.7676e-05   7.7629e+12   1.4489e+13
