## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4846e-01  -1.9191e+00   1.3983e+00   2.0336e-02   5.7181e+03   1.0692e+04
  2.4303e-01   2.6052e-01  -1.3578e+00   1.2590e+00   2.4482e-02   2.6609e+04   4.9721e+04
  4.3931e-01   4.6844e-01  -7.7107e-01   1.1759e+00   2.2952e-02   7.8884e+04   1.4736e+05
  7.9411e-01   8.4873e-01  -1.7604e-01   1.1407e+00   2.2106e-02   2.4207e+05   4.5213e+05
  1.4355e+00   1.5345e+00   4.1679e-01   1.1229e+00   2.2333e-02   7.7314e+05   1.4440e+06
  2.5948e+00   2.7703e+00   1.0077e+00   1.1190e+00   2.2783e-02   2.3781e+06   4.4415e+06
  4.6904e+00   4.9990e+00   1.5980e+00   1.1184e+00   2.3018e-02   6.8994e+06   1.2886e+07
  8.4785e+00   9.0725e+00   2.1938e+00   1.1197e+00   2.3009e-02   1.9842e+07   3.7059e+07
  1.5326e+01   1.6422e+01   2.7870e+00   1.1206e+00   2.3104e-02   6.1436e+07   1.1474e+08
  2.7704e+01   2.9686e+01   3.3788e+00   1.1207e+00   2.2977e-02   1.9072e+08   3.5620e+08
  5.0078e+01   5.3655e+01   3.9705e+00   1.1209e+00   2.3055e-02   5.9016e+08   1.1022e+09
  9.0523e+01   9.6972e+01   4.5622e+00   1.1209e+00   2.3280e-02   1.8220e+09   3.4029e+09
  1.6363e+02   1.7534e+02   5.1544e+00   1.1227e+00   2.3037e-02   5.6166e+09   1.0490e+10
