## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4392e-01  -1.9512e+00   7.2018e-01   2.6594e-03   8.5727e+04   1.6504e+05
  2.4303e-01   2.5996e-01  -1.3592e+00   7.1808e-01   1.1618e-03   2.7810e+05   5.3538e+05
  4.3931e-01   4.6987e-01  -7.6658e-01   7.2121e-01   9.9528e-04   9.0009e+05   1.7329e+06
  7.9411e-01   8.5011e-01  -1.7336e-01   7.1980e-01   3.2488e-04   2.8958e+06   5.5752e+06
  1.4355e+00   1.5369e+00   4.1888e-01   7.2033e-01   3.9303e-04   9.1448e+06   1.7606e+07
  2.5948e+00   2.7749e+00   1.0096e+00   7.2014e-01   1.4704e-04   2.7973e+07   5.3854e+07
  4.6904e+00   5.0039e+00   1.5989e+00   7.2027e-01   1.5568e-04   8.1228e+07   1.5638e+08
  8.4785e+00   9.0782e+00   2.1943e+00   7.2021e-01   1.1691e-04   2.3344e+08   4.4943e+08
  1.5326e+01   1.6427e+01   2.7872e+00   7.2021e-01   1.4810e-04   7.2137e+08   1.3888e+09
  2.7704e+01   2.9690e+01   3.3789e+00   7.2024e-01   1.2033e-04   2.2383e+09   4.3091e+09
  5.0078e+01   5.3655e+01   3.9705e+00   7.2020e-01   1.1818e-04   6.9155e+09   1.3314e+10
  9.0523e+01   9.6969e+01   4.5622e+00   7.2023e-01   1.1707e-04   2.1323e+10   4.1052e+10
  1.6363e+02   1.7530e+02   5.1542e+00   7.2025e-01   1.1047e-04   6.5478e+10   1.2606e+11
