## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4817e-01  -1.9211e+00   2.8608e-01   2.3697e-02   3.9234e+03   7.5710e+03
  2.4303e-01   2.6133e-01  -1.3546e+00   1.1268e-01   6.6828e-03   1.9574e+04   3.7748e+04
  4.3931e-01   4.6899e-01  -7.6995e-01   2.5700e-02   2.9287e-03   6.0022e+04   1.1572e+05
  7.9411e-01   8.4925e-01  -1.7551e-01  -2.2291e-04   1.6110e-03   1.8699e+05   3.6051e+05
  1.4355e+00   1.5345e+00   4.1670e-01  -3.7414e-03   8.8681e-04   5.9992e+05   1.1566e+06
  2.5948e+00   2.7698e+00   1.0075e+00  -1.1336e-04   3.5686e-04   1.8499e+06   3.5665e+06
  4.6904e+00   4.9990e+00   1.5979e+00  -1.8438e-04   2.9203e-04   5.3761e+06   1.0365e+07
  8.4785e+00   9.0724e+00   2.1938e+00   1.1607e-04   9.5493e-05   1.5473e+07   2.9831e+07
  1.5326e+01   1.6423e+01   2.7870e+00   2.1089e-04   1.2224e-04   4.7944e+07   9.2433e+07
  2.7704e+01   2.9686e+01   3.3788e+00   2.4563e-04   9.9205e-05   1.4893e+08   2.8713e+08
  5.0078e+01   5.3654e+01   3.9705e+00   2.0373e-04   9.0641e-05   4.6092e+08   8.8864e+08
  9.0523e+01   9.6972e+01   4.5622e+00   1.3869e-04   7.5332e-05   1.4237e+09   2.7449e+09
  1.6363e+02   1.7534e+02   5.1544e+00   1.1313e-04   7.6152e-05   4.3908e+09   8.4653e+09
