## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4365e-01  -1.9524e+00   7.4458e-01   2.3023e-02   6.4077e+05   1.2354e+06
  2.4303e-01   2.6001e-01  -1.3583e+00   7.4380e-01   2.3851e-02   2.0849e+06   4.0197e+06
  4.3931e-01   4.7069e-01  -7.6467e-01   7.4130e-01   2.4075e-02   6.7719e+06   1.3056e+07
  7.9411e-01   8.5130e-01  -1.7216e-01   7.3465e-01   2.3830e-02   2.1788e+07   4.2006e+07
  1.4355e+00   1.5388e+00   4.1945e-01   7.2241e-01   2.3884e-02   6.9192e+07   1.3340e+08
  2.5948e+00   2.7762e+00   1.0091e+00   7.1476e-01   2.3890e-02   2.1245e+08   4.0959e+08
  4.6904e+00   5.0032e+00   1.5978e+00   7.1397e-01   2.4324e-02   6.1562e+08   1.1869e+09
  8.4785e+00   9.0734e+00   2.1932e+00   7.1516e-01   2.4162e-02   1.7725e+09   3.4172e+09
  1.5326e+01   1.6421e+01   2.7866e+00   7.1608e-01   2.4303e-02   5.5002e+09   1.0604e+10
  2.7704e+01   2.9689e+01   3.3787e+00   7.1604e-01   2.4159e-02   1.7106e+10   3.2980e+10
  5.0078e+01   5.3659e+01   3.9704e+00   7.1618e-01   2.4195e-02   5.2935e+10   1.0206e+11
  9.0523e+01   9.6963e+01   4.5620e+00   7.1588e-01   2.4363e-02   1.6352e+11   3.1525e+11
  1.6363e+02   1.7531e+02   5.1542e+00   7.1736e-01   2.4110e-02   5.0449e+11   9.7263e+11
