## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4375e-01  -1.9517e+00   7.2001e-01   7.6721e-04   9.8861e+06   1.9033e+07
  2.4303e-01   2.6032e-01  -1.3574e+00   7.2010e-01   5.8611e-04   3.2117e+07   6.1832e+07
  4.3931e-01   4.7097e-01  -7.6463e-01   7.1999e-01   4.7883e-04   1.0398e+08   2.0018e+08
  7.9411e-01   8.5131e-01  -1.7284e-01   7.1999e-01   3.6893e-04   3.3288e+08   6.4087e+08
  1.4355e+00   1.5376e+00   4.1829e-01   7.2028e-01   2.8257e-04   1.0484e+09   2.0183e+09
  2.5948e+00   2.7751e+00   1.0086e+00   7.2013e-01   1.6721e-04   3.2042e+09   6.1688e+09
  4.6904e+00   5.0032e+00   1.5979e+00   7.2027e-01   1.4045e-04   9.2977e+09   1.7900e+10
  8.4785e+00   9.0770e+00   2.1935e+00   7.2018e-01   1.2855e-04   2.6747e+10   5.1493e+10
  1.5326e+01   1.6427e+01   2.7868e+00   7.2022e-01   1.3828e-04   8.2819e+10   1.5945e+11
  2.7704e+01   2.9695e+01   3.3788e+00   7.2024e-01   1.2109e-04   2.5717e+11   4.9512e+11
  5.0078e+01   5.3662e+01   3.9704e+00   7.2020e-01   1.1759e-04   7.9444e+11   1.5295e+12
  9.0523e+01   9.6962e+01   4.5620e+00   7.2023e-01   1.1725e-04   2.4492e+12   4.7152e+12
  1.6363e+02   1.7528e+02   5.1540e+00   7.2025e-01   1.1003e-04   7.5234e+12   1.4484e+13
